rank,song_title,artist,featuring_artists,year,track_mbid,artist_mbid,duration,genre
1,Uptown Funk,Mark Ronson,['Bruno Mars'],2015,540ba59d-803c-46ad-8003-fb96b7832819,c3c82bdc-d9e7-4836-9746-c24ead47ca19,270000,[]
2,Cheerleader (Felix Jaehn Remix),Omi,[],2015,3d05947b-f269-43da-8e4a-c7596533ea67,2c138adb-97ee-42b9-9ed6-6b643c04a7c8,181000,[]
3,See You Again,Wiz Khalifa,['Charlie Puth'],2015,0fde892f-9680-4b6a-926d-62d7fc1d0060,f5dfa020-ad69-41cd-b3d4-fd7af0414e94,235000,[]
4,Take Me to Church,Hozier,[],2015,c11179f1-046a-4716-8315-95a8f50bc830,b4691384-50c3-4afd-9988-51d3ec5db65d,242000,"['indie', 'soul']"
5,Hello,Adele,[],2015,623b39c5-3cf1-49b1-83a7-a22362f3b9a6,cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,352000,"['soul', 'pop']"
6,Lean On,Major Lazer & DJ Snake,['Mo'],2015,ba241e56-125e-48e6-938a-f9155fdea3ff,75be165a-ad83-4d12-bd28-f589a15c479f,147000,"['pop', 'dance', 'electronic']"
7,Love Me Like You Do,Ellie Goulding,[],2015,,33ca19f4-18c8-4411-98df-ac23890ce9f5,253000,['pop']
8,Shut Up and Dance,Walk the Moon,[],2015,,4d6ca529-530e-480f-b4bc-18e78eb58a7d,198000,"['pop', 'rock', 'dance']"
9,What Do You Mean?,Justin Bieber,[],2015,,e0140a67-e4d1-4f13-8a01-364355bee46e,205000,"['pop', 'dance']"
10,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,[],2015,,,0,[]
11,Downtown,Macklemore & Ryan Lewis,"['Eric Nally', 'Melle Mel', 'Kool Moe Dee', 'Grandmaster Caz']",2015,,97b226c8-7140-4da3-91ac-15e62e131a81,294000,[]
12,Can't Feel My Face,The Weeknd,[],2015,,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,215000,"['rnb', 'pop']"
13,Sugar,Maroon 5,[],2015,c38c6b06-5f47-41f9-b555-95dbc657acbb,0ab49580-c84f-44d4-875f-d83760ea2cfe,235000,['pop']
14,Elastic Heart,Sia,[],2015,200ba07f-8817-4626-beb2-c67b38a7fb91,2f548675-008d-4332-876c-108b0c7ab9c5,257000,"['pop', 'soul']"
15,Thinking Out Loud,Ed Sheeran,[],2015,cb2cc207-8125-445c-9ef9-6ea44eee959a,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,282000,"['soul', 'pop']"
16,Sorry,Justin Bieber,[],2015,,e0140a67-e4d1-4f13-8a01-364355bee46e,200000,['pop']
17,Where Are U Now,Jack U {Skrillex & Diplo},['Justin Bieber'],2015,,,,[]
18,Bad Blood,Taylor Swift,['Kendrick Lamar'],2015,7fad1aa3-d874-48d8-842a-9ca9afea068e,20244d07-534f-4eff-b4d4-930878889970,146000,['pop']
19,Hold Back the River,James Bay,[],2015,,6a997121-0919-482b-a91b-c6fe1b55a4b9,238000,[]
20,The Hills,The Weeknd,[],2015,04237e51-d522-427d-ad71-99b6155f50ff,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,243000,"['rnb', 'electronic']"
21,Fight Song,Rachel Platten,[],2015,5f76bd49-bea4-4b56-9ec4-576e7221206a,070c2401-1474-477d-b377-3e5827992fbf,201000,[]
22,Do You Remember,Jarryd James,[],2015,ab9f21cf-5fba-4722-a2f3-95356d0d5cda,d6a1c436-0595-48a2-bc3f-c27962d82ec8,235000,[]
23,Like I'm Gonna Lose You,Meghan Trainor,['John Legend'],2015,8d86aed8-92da-4f15-b38d-52780beb8609,b2029169-2574-4305-820f-252a5fde3697,224000,[]
24,Want to Want Me,Jason Derulo,[],2015,05b2b4cb-d765-48b0-8d90-63e2219ffd29,,206000,[]
25,Love Yourself,Justin Bieber,[],2015,,e0140a67-e4d1-4f13-8a01-364355bee46e,233000,['pop']
26,You Don't Own Me,Grace,['G-Eazy'],2015,14ac2afa-706d-41ba-b6a5-765e7273ae63,ecbacc9c-2d18-4bdb-966d-a147931df3d2,199000,[]
27,Bills,LunchMoney Lewis,[],2015,59f0076c-db9c-4fca-a904-b9483bfe3b05,73bf149f-bd0e-42ac-b0c1-dddb7b8e4ab5,204000,[]
28,Are You With Me,Lost Frequencies,[],2015,,ea7260de-e1b1-43f1-bb11-f78274a36308,142000,[]
