rank,song_title,artist,featuring_artists,year,track_mbid,artist_mbid,duration,genre
1,Can't Fight the Moonlight,LeAnn Rimes,[],2001,,9092d8e1-9b38-4372-a96d-000b8561a8bc,215000,[]
2,It Wasn't Me,Shaggy,['Rik Rok'],2001,,fc63d806-ca89-4ea3-a404-ee6de695743f,227000,"['reggae', 'pop', 'rnb']"
3,Can't Get You Out of My Head,Kylie Minogue,[],2001,0fbf2dda-2681-43b6-b0eb-33b1385bd0bb,2fddb92d-24b2-46a5-bf28-3aed46f4684c,230000,"['pop', 'dance']"
4,Angel,Shaggy,['Rayvon'],2001,43a90ecc-aca6-3ed2-9c78-e5634ed5c040,fc63d806-ca89-4ea3-a404-ee6de695743f,234000,"['reggae', 'pop', 'rnb']"
5,Hanging By a Moment,Lifehouse,[],2001,7d5e3bdd-b0b1-47c4-9fb2-877a683f210c,04591295-6d94-45cb-b6c7-1ae17c6f380e,216000,[]
6,Stan,Eminem,[],2001,67801b02-2d2d-3375-ba4b-88e0a58fbb09,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,404000,"['rap', 'hip hop']"
7,I'm Like a Bird,Nelly Furtado,[],2001,,13655113-cd16-4b43-9dca-cadbbf26ee05,243000,"['pop', 'folk']"
8,Smooth Criminal,Alien Ant Farm,[],2001,570ae315-a684-4095-bdf9-5fc14a4ea276,8ac6cc32-8ddf-43b1-9ac4-4b04f9053176,208000,"['rock', 'alternative']"
9,Can We Fix It?,Bob the Builder,[],2001,0044f5ae-9291-3832-a115-a12924f7970f,64c0f4c6-6099-4f01-910a-b0ae0a0b483f,187000,[]
10,Whole Again,Atomic Kitten,[],2001,eb0a4e6e-2e9d-470d-8188-53607194860d,6fda00c2-449a-4bf4-838f-038d41a07c73,186000,[]
11,Case of the Ex,Mya,[],2001,6f9e579f-be4a-3cf7-aaae-eda9c2b240df,7c5e39c3-7645-4e37-968d-a4e45cd38c5d,236000,[]
12,Butterfly,Crazy Town,[],2001,,8996b655-fbad-4018-b430-1bd8fab43235,216000,"['rock', 'alternative']"
13,Lady Marmalade,Christina Aguilera & Lil' Kim & Mya & Pink,[],2001,3847bda4-ae12-43ce-8158-31b2e4d1a847,b202beb7-99bd-47e7-8b72-195c8d72ebdd,267000,[]
14,Because I Got High,Afroman,[],2001,915dbb48-7932-4280-87d8-21c8bcd86095,8c332797-2784-45a7-9b5c-3b86f07a03de,310000,[]
