rank,song_title,artist,featuring_artists,year,track_mbid,artist_mbid,duration,genre
1,Shape of You,Ed Sheeran,[],2017,d7500dd6-b815-4299-88c6-3fbda358f1fc,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,233000,['pop']
2,Despacito (Remix),Luis Fonsi & Daddy Yankee,['Justin Bieber'],2017,,,0,[]
3,Castle on the Hill,Ed Sheeran,[],2017,5780b6fb-066f-4147-ac0e-0d8c8e812e02,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,261000,"['pop', 'rock']"
4,Perfect,Ed Sheeran,[],2017,b84dd2d1-2bf1-4fcc-aadc-6cc39c36ba35,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,263000,['pop']
5,Something Just Like This,The Chainsmokers & Coldplay,[],2017,81c1ca0c-69eb-444c-9f1d-27731a53d9c3,,247000,[]
6,Thunder,Imagine Dragons,[],2017,,012151a8-0f9a-44c9-997f-ebd68b5389f9,187000,"['pop', 'alternative', 'rock', 'indie']"
7,Galway Girl,Ed Sheeran,[],2017,04a6f0d9-2f10-4a4f-b40e-c88ebf83d890,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,170000,"['pop', 'country', 'folk']"
8,Humble,Kendrick Lamar,[],2017,bdb0435f-9d43-4d62-a1c7-35ef01b82ba0,381086ea-f511-4aba-bdf9-71c753dc5077,177000,[]
9,Glorious,Macklemore,['Skylar Grey'],2017,,b6d7ec94-830c-44dd-b699-ce66556b7e55,220000,[]
10,There's Nothing Holdin' Me Back,Shawn Mendes,[],2017,,b7d92248-97e3-4450-8057-6fe06738f735,199000,['pop']
11,Strip That Down,Liam Payne,['Quavo'],2017,d2b37b61-c822-49d3-bad1-59f44a6a3850,93ae8651-24ee-406c-b927-eb7cd773ae38,205000,[]
12,Slow Hands,Niall Horan,[],2017,,55e6074f-ef78-4ec3-8fff-bd1b8cc8c14a,188000,[]
13,I'm the One,DJ Khaled,"['Justin Bieber', 'Quavo', 'Chance the Rapper', 'Lil Wayne']",2017,35d03a98-805b-4752-8a44-1762e46ba5d1,081a2d60-9791-4e05-a075-f1890355eeee,288000,[]
14,Stay,Zedd & Alessia Cara,[],2017,,,210000,[]
15,Issues,Julia Michaels,[],2017,,4757df70-6c3e-46b8-99c0-a68644595c9a,176000,[]
16,Rockstar,Post Malone,['21 Savage'],2017,ff18a32b-47eb-4335-88bd-f22c768ecf96,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,186000,[]
17,I Don't Wanna Live Forever,Zayn & Taylor Swift,[],2017,887088bc-72da-400b-b35f-bf97f5bf903a,,244000,[]
18,Symphony,Clean Bandit,['Zara Larsson'],2017,408507c8-6079-41f6-9574-833e684881cf,dacc2d64-7e59-42a8-87a9-10c53919aff2,0,[]
19,Havana,Camila Cabello,['Young Thug'],2017,90aaf59b-b1dd-4a4f-b7e2-4c8cac6c7617,01b8b5bf-06cb-45da-85fb-61ada72fcd69,217000,[]
20,It Ain't Me,Kygo & Selena Gomez,[],2017,9d23a40d-c31a-42b0-b5c9-760059a9aceb,,213000,[]
