rank,song_title,artist,year
1,Yeah!,"Usher, Lil Jon, Ludacris",2004
2,Burn,Usher,2004
3,If I Ain't Got You,Alicia Keys,2004
4,This Love,Maroon 5,2004
5,The Way You Move,"OutKast, Sleepy Brown",2004
6,The Reason,Hoobastank,2004
7,I Don't Wanna Know,"Mario Winans, Enya, P. Diddy",2004
8,Hey Ya!,OutKast,2004
9,Goodies,"Ciara, Petey Pablo",2004
10,Lean Back,"Terror Squad, Fat Joe, Remy Ma",2004
11,Tipsy,J-Kwon,2004
12,Confessions Part II,Usher,2004
13,Slow Motion,"Juvenile, Soulja Slim",2004
14,Freek-a-Leek,Petey Pablo,2004
15,Here Without You,3 Doors Down,2004
16,Slow Jamz,"Twista, Kanye West, Jamie Foxx",2004
17,Someday,Nickelback,2004
18,Naughty Girl,Beyoncé,2004
19,My Immortal,Evanescence,2004
20,Sunshine,Lil' Flip,2004
21,Dirt Off Your Shoulder,Jay-Z,2004
22,Move Ya Body,Nina Sky,2004
23,Dip It Low,Christina Milian,2004
24,My Boo,"Usher, Alicia Keys",2004
25,One Call Away,"Chingy, J-Weav",2004
26,"Me, Myself and I",Beyoncé,2004
27,Turn Me On,"Kevin Lyttle, Spragga Benz",2004
28,The First Cut Is the Deepest,Sheryl Crow,2004
29,You Don't Know My Name,Alicia Keys,2004
30,My Place,"Nelly, Jaheim",2004
31,Overnight Celebrity,Twista,2004
32,Hotel,"Cassidy, R. Kelly",2004
33,Numb,Linkin Park,2004
34,Diary,"Alicia Keys, Tony! Toni! Toné!",2004
35,She Will Be Loved,Maroon 5,2004
36,White Flag,Dido,2004
37,Heaven,Los Lonely Boys,2004
38,It's My Life,No Doubt,2004
39,Pieces of Me,Ashlee Simpson,2004
40,Leave (Get Out),JoJo,2004
41,Milkshake,Kelis,2004
42,Splash Waterfalls,Ludacris,2004
43,Jesus Walks,Kanye West,2004
44,Locked Up,"Akon, Styles P",2004
45,Stand Up,"Ludacris, Shawnna",2004
46,Suga Suga,"Baby Bash, Frankie J",2004
47,All Falls Down,"Kanye West, Syleena Johnson",2004
48,Toxic,Britney Spears,2004
49,Salt Shaker,"Ying Yang Twins, Lil Jon & the East Side Boyz",2004
50,With You,Jessica Simpson,2004
51,Meant to Live,Switchfoot,2004
52,I Like That,"Houston, Chingy, Nate Dogg, I-20",2004
53,Sorry 2004,Ruben Studdard,2004
54,My Happy Ending,Avril Lavigne,2004
55,On Fire,Lloyd Banks,2004
56,Roses,OutKast,2004
57,Walked Outta Heaven,Jagged Edge,2004
58,Lose My Breath,Destiny's Child,2004
59,My Band,D12,2004
60,I'm Still in Love with You,"Sean Paul, Sasha",2004
61,Through the Wire,Kanye West,2004
62,Why?,"Jadakiss, Anthony Hamilton",2004
63,Fuck It (I Don't Want You Back),Eamon,2004
64,Read Your Mind,Avant,2004
65,Game Over (Flip),Lil' Flip,2004
66,One Thing,Finger Eleven,2004
67,Headsprung,LL Cool J,2004
68,Damn!,"YoungBloodZ, Lil Jon",2004
69,Baby Boy,"Beyoncé, Sean Paul",2004
70,Get Low,"Lil Jon & the East Side Boyz, Ying Yang Twins",2004
71,Drop It Like It's Hot,"Snoop Dogg, Pharrell",2004
72,U Should've Known Better,Monica,2004
73,On the Way Down,Ryan Cabrera,2004
74,Breakaway,Kelly Clarkson,2004
75,Why Don't You & I,"Santana, Alex Band, Chad Kroeger",2004
76,Are You Gonna Be My Girl,Jet,2004
77,100 Years,Five for Fighting,2004
78,Step in the Name of Love,R. Kelly,2004
79,Breaking the Habit,Linkin Park,2004
80,Gigolo,"Nick Cannon, R. Kelly",2004
81,Live Like You Were Dying,Tim McGraw,2004
82,Remember When,Alan Jackson,2004
83,Everytime,Britney Spears,2004
84,Southside,"Lloyd, Ashanti",2004
85,Dude,"Beenie Man, Ms. Thing",2004
86,Wanna Get to Know You,"G-Unit, Joe",2004
87,Holidae In,"Chingy, Ludacris, Snoop Dogg",2004
88,Let's Get It Started,The Black Eyed Peas,2004
89,When the Sun Goes Down,"Kenny Chesney, Uncle Kracker",2004
90,American Soldier,Toby Keith,2004
91,Change Clothes,Jay-Z,2004
92,Don't Tell Me,Avril Lavigne,2004
93,You'll Think of Me,Keith Urban,2004
94,Happy People,R. Kelly,2004
95,Hey Mama,The Black Eyed Peas,2004
96,Over and Over,"Nelly, Tim McGraw",2004
97,Redneck Woman,Gretchen Wilson,2004
98,Just Lose It,Eminem,2004
99,Letters from Home,John Michael Montgomery,2004
100,I Go Back,Kenny Chesney,2004
