rank,song_title,artist,year
1,Blinding Lights,The Weeknd,2020
2,Circles,Post Malone,2020
3,The Box,Roddy Ricch,2020
4,Don't Start Now,Dua Lipa,2020
5,Rockstar,"DaBaby, Roddy Ricch",2020
6,Adore You,Harry Styles,2020
7,Life Is Good,"Future, Drake",2020
8,Memories,Maroon 5,2020
9,The Bones,Maren Morris,2020
10,Someone You Loved,Lewis Capaldi,2020
11,Say So,Doja Cat,2020
12,I Hope,"Gabby Barrett, Charlie Puth",2020
13,Whats Poppin,"Jack Harlow, DaBaby, Tory Lanez, Lil Wayne",2020
14,Dance Monkey,Tones and I,2020
15,Savage,"Megan Thee Stallion, Beyoncé",2020
16,Roxanne,Arizona Zervas,2020
17,Intentions,"Justin Bieber, Quavo",2020
18,Everything I Wanted,Billie Eilish,2020
19,Roses (Imanbek remix),Saint Jhn,2020
20,Watermelon Sugar,Harry Styles,2020
21,Before You Go,Lewis Capaldi,2020
22,Falling,Trevor Daniel,2020
23,"10,000 Hours","Dan + Shay, Justin Bieber",2020
24,WAP,"Cardi B, Megan Thee Stallion",2020
25,Ballin',"Mustard, Roddy Ricch",2020
26,Hot Girl Bummer,Blackbear,2020
27,Blueberry Faygo,Lil Mosey,2020
28,Heartless,The Weeknd,2020
29,Bop,DaBaby,2020
30,Lose You to Love Me,Selena Gomez,2020
31,Good as Hell,Lizzo,2020
32,Toosie Slide,Drake,2020
33,Break My Heart,Dua Lipa,2020
34,Chasin' You,Morgan Wallen,2020
35,Savage Love (Laxed – Siren Beat),"Jawsh 685, Jason Derulo",2020
36,No Guidance,"Chris Brown, Drake",2020
37,My Oh My,"Camila Cabello, DaBaby",2020
38,Dynamite,BTS,2020
39,Go Crazy,"Chris Brown, Young Thug",2020
40,High Fashion,"Roddy Ricch, Mustard",2020
41,Laugh Now Cry Later,"Drake, Lil Durk",2020
42,Woah,Lil Baby,2020
43,Death Bed,"Powfu, Beabadoobee",2020
44,Señorita,"Shawn Mendes, Camila Cabello",2020
45,Highest in the Room,Travis Scott,2020
46,Bad Guy,Billie Eilish,2020
47,Mood,"24kGoldn, Iann Dior",2020
48,Rain on Me,"Lady Gaga, Ariana Grande",2020
49,For the Night,"Pop Smoke, Lil Baby, DaBaby",2020
50,Ritmo (Bad Boys for Life),"Black Eyed Peas, J Balvin",2020
51,Heart on Ice,Rod Wave,2020
52,Nobody but You,"Blake Shelton, Gwen Stefani",2020
53,Trampoline,Shaed,2020
54,Come & Go,"Juice Wrld, Marshmello",2020
55,Truth Hurts,Lizzo,2020
56,If the World Was Ending,"JP Saxe, Julia Michaels",2020
57,We Paid,"Lil Baby, 42 Dugg",2020
58,Yummy,Justin Bieber,2020
59,One Man Band,Old Dominion,2020
60,Got What I Got,Jason Aldean,2020
61,Sunday Best,Surfaces,2020
62,Godzilla,"Eminem, Juice Wrld",2020
63,Bandit,"Juice Wrld, YoungBoy Never Broke Again",2020
64,Party Girl,StaySolidRocky,2020
65,Die from a Broken Heart,Maddie & Tae,2020
66,Popstar,"DJ Khaled, Drake",2020
67,All I Want for Christmas Is You,Mariah Carey,2020
68,One of Them Girls,Lee Brice,2020
69,Hard to Forget,Sam Hunt,2020
70,One Margarita,Luke Bryan,2020
71,Panini,Lil Nas X,2020
72,Hot,"Young Thug, Gunna",2020
73,I Hope You're Happy Now,"Carly Pearce, Lee Brice",2020
74,Emotionally Scarred,Lil Baby,2020
75,Suicidal,"YNW Melly, Juice Wrld",2020
76,The Bigger Picture,Lil Baby,2020
77,Only Human,Jonas Brothers,2020
78,The Woo,"Pop Smoke, 50 Cent, Roddy Ricch",2020
79,Sum 2 Prove,Lil Baby,2020
80,Stuck with U,"Ariana Grande, Justin Bieber",2020
81,Mood Swings,"Pop Smoke, Lil Tjay",2020
82,You Should Be Sad,Halsey,2020
83,Dior,Pop Smoke,2020
84,Supalonely,"Benee, Gus Dapperton",2020
85,Even Though I'm Leaving,Luke Combs,2020
86,The Scotts,"Travis Scott, Kid Cudi",2020
87,Juicy,"Doja Cat, Tyga",2020
88,Be Like That,"Kane Brown, Swae Lee, Khalid",2020
89,Homesick,Kane Brown,2020
90,Rags2Riches,Rod Wave,2020
91,Bluebird,Miranda Lambert,2020
92,Wishing Well,Juice Wrld,2020
93,Does to Me,"Luke Combs, Eric Church",2020
95,ILY (I Love You Baby),Surf Mesa,2020
96,More Than My Hometown,Morgan Wallen,2020
97,Lovin' on You,Luke Combs,2020
98,Said Sum,Moneybagg Yo,2020
99,Slide,"H.E.R., YG",2020
100,Walk Em Down,"NLE Choppa, Roddy Ricch",2020
