rank,song_title,artist,year
1,How You Remind Me,Nickelback,2002
2,Foolish,Ashanti,2002
3,Hot in Herre,Nelly,2002
4,Dilemma,"Nelly, Kelly Rowland",2002
5,Wherever You Will Go,The Calling,2002
6,A Thousand Miles,Vanessa Carlton,2002
7,In the End,Linkin Park,2002
8,What's Luv?,"Fat Joe, Ashanti",2002
9,U Got It Bad,Usher,2002
10,Blurry,Puddle of Mudd,2002
11,Complicated,Avril Lavigne,2002
12,Always on Time,"Ja Rule, Ashanti",2002
13,Ain't It Funny (Murder Remix),"Jennifer Lopez, Ja Rule",2002
14,The Middle,Jimmy Eat World,2002
15,I Need a Girl (Part One),"P. Diddy, Usher, Loon",2002
16,U Don't Have to Call,Usher,2002
17,Family Affair,Mary J. Blige,2002
18,I Need a Girl (Part Two),"P. Diddy, Ginuwine, Loon, Mario Winans",2002
19,Gangsta Lovin',"Eve, Alicia Keys",2002
20,My Sacrifice,Creed,2002
21,Without Me,Eminem,2002
22,Hero,Enrique Iglesias,2002
23,All You Wanted,Michelle Branch,2002
24,Get the Party Started,Pink,2002
25,Hero,"Chad Kroeger, Josey Scott",2002
26,Wasting My Time,Default,2002
27,One Last Breath,Creed,2002
28,"Whenever, Wherever",Shakira,2002
29,I'm Gonna Be Alright,"Jennifer Lopez, Nas",2002
30,Oh Boy,"Cam'ron, Juelz Santana",2002
31,Heaven,"DJ Sammy, Yanou, Do",2002
32,Hey Baby,"No Doubt, Bounty Killer",2002
33,Girlfriend,"NSYNC, Nelly",2002
34,Just a Friend 2002,Mario,2002
35,Soak Up the Sun,Sheryl Crow,2002
36,Don't Let Me Get Me,Pink,2002
37,Nothin',N.O.R.E.,2002
38,Oops (Oh My),"Tweet, Missy Elliott",2002
39,A Moment Like This,Kelly Clarkson,2002
40,Addictive,"Truth Hurts, Rakim",2002
41,Happy,Ashanti,2002
42,No Such Thing,John Mayer,2002
43,Just Like a Pill,Pink,2002
44,Down 4 U,"Ja Rule, Ashanti, Charli Baltimore, Vita",2002
45,Can't Get You Out of My Head,Kylie Minogue,2002
46,Superman (It's Not Easy),Five for Fighting,2002
47,Cleanin' Out My Closet,Eminem,2002
48,Halfcrazy,Musiq Soulchild,2002
49,"Lights, Camera, Action!",Mr. Cheeks,2002
50,Still Fly,Big Tymers,2002
51,A Woman's Worth,Alicia Keys,2002
52,7 Days,Craig David,2002
53,Hey Ma,"Cam'ron, Juelz Santana, Freekey Zekey",2002
54,Work It,Missy Elliott,2002
55,Move Bitch,"Ludacris, Mystikal, I-20",2002
56,Can't Fight the Moonlight,LeAnn Rimes,2002
57,Escape,Enrique Iglesias,2002
58,More Than A Woman,Aaliyah,2002
59,Hella Good,No Doubt,2002
60,I Love You,Faith Evans,2002
61,Gotta Get thru This,Daniel Bedingfield,2002
62,"Pass the Courvoisier, Part II","Busta Rhymes, P. Diddy, Pharrell",2002
63,Lose Yourself,Eminem,2002
64,Butterflies,Michael Jackson,2002
65,What About Us?,Brandy,2002
66,Underneath Your Clothes,Shakira,2002
67,Rainy Dayz,"Mary J. Blige, Ja Rule",2002
68,Differences,Ginuwine,2002
69,If I Could Go!,"Angie Martinez, Lil' Mo, Sacario",2002
70,The Whole World,"Outkast, Killer Mike",2002
71,Underneath It All,"No Doubt, Lady Saw",2002
72,Caramel,City High,2002
73,Luv U Better,LL Cool J,2002
74,Gimme the Light,Sean Paul,2002
75,Gone,NSYNC,2002
76,Livin' It Up,"Ja Rule, Case",2002
77,Rollout (My Business),Ludacris,2002
78,Here Is Gone,Goo Goo Dolls,2002
79,No More Drama,Mary J. Blige,2002
80,Days Go By,Dirty Vegas,2002
81,Baby,Ashanti,2002
82,The Good Stuff,Kenny Chesney,2002
83,We Thuggin',"Fat Joe, R. Kelly",2002
84,Good Morning Beautiful,Steve Holy,2002
85,Rock the Boat,Aaliyah,2002
86,Drive (For Daddy Gene),Alan Jackson,2002
87,Standing Still,Jewel,2002
89,Full Moon,Brandy,2002
90,Uh Huh,B2K,2002
91,A New Day Has Come,Celine Dion,2002
92,Turn Off the Light,Nelly Furtado,2002
93,Living and Living Well,George Strait,2002
94,My List,Toby Keith,2002
95,Hands Clean,Alanis Morissette,2002
96,Sk8er Boi,Avril Lavigne,2002
97,Long Time Gone,Dixie Chicks,2002
98,Where Were You (When the World Stopped Turning),Alan Jackson,2002
99,Like I Love You,Justin Timberlake,2002
100,I Do!!,Toya,2002
