rank,song_title,artist,year
1,Bad Day,Daniel Powter,2006
2,Temperature,Sean Paul,2006
3,Promiscuous,"Nelly Furtado, Timbaland",2006
4,You're Beautiful,James Blunt,2006
5,Hips Don't Lie,"Shakira, Wyclef Jean",2006
6,Unwritten,Natasha Bedingfield,2006
8,Ridin',"Chamillionaire, Krayzie Bone",2006
9,SexyBack,"Justin Timberlake, Timbaland",2006
10,Check on It,"Beyoncé, Slim Thug",2006
11,Be Without You,Mary J. Blige,2006
12,Grillz,"Nelly, Paul Wall, Ali & Gipp",2006
13,Over My Head (Cable Car),The Fray,2006
14,Me & U,Cassie,2006
15,Buttons,"Pussycat Dolls, Snoop Dogg",2006
16,Run It!,"Chris Brown, Juelz Santana",2006
17,So Sick,Ne-Yo,2006
18,It's Goin' Down,"Yung Joc, Nitti",2006
19,SOS,Rihanna,2006
20,I Write Sins Not Tragedies,Panic! at the Disco,2006
21,Move Along,The All-American Rejects,2006
22,London Bridge,Fergie,2006
23,Dani California,Red Hot Chili Peppers,2006
24,Snap Yo Fingers,"Lil Jon, E-40, Sean Paul",2006
25,"Lean wit It, Rock wit It",Dem Franchize Boyz,2006
26,What Hurts the Most,Rascal Flatts,2006
27,How to Save a Life,The Fray,2006
28,Unfaithful,Rihanna,2006
29,Chasing Cars,Snow Patrol,2006
30,Lips of an Angel,Hinder,2006
31,Everytime We Touch,Cascada,2006
32,Ain't No Other Man,Christina Aguilera,2006
33,"Dance, Dance",Fall Out Boy,2006
34,Gold Digger,"Kanye West, Jamie Foxx",2006
35,Money Maker,"Ludacris, Pharrell",2006
36,Ms. New Booty,"Bubba Sparxxx, Ying Yang Twins",2006
37,(When You Gonna) Give It Up to Me,"Sean Paul, Keyshia Cole",2006
38,Photograph,Nickelback,2006
39,Because of You,Kelly Clarkson,2006
40,Stickwitu,Pussycat Dolls,2006
41,I'm 'n Luv (wit a Stripper),"T-Pain, Mike Jones",2006
42,My Humps,The Black Eyed Peas,2006
43,Where'd You Go,"Fort Minor, Holly Brook, Jonah Matranga",2006
44,Yo (Excuse Me Miss),Chris Brown,2006
45,Walk Away,Kelly Clarkson,2006
46,Laffy Taffy,D4L,2006
47,What You Know,T.I.,2006
48,Dirty Little Secret,The All-American Rejects,2006
49,Savin' Me,Nickelback,2006
50,Don't Forget About Us,Mariah Carey,2006
51,Sexy Love,Ne-Yo,2006
52,U and Dat,"E-40, T-Pain, Kandi Girl",2006
53,Far Away,Nickelback,2006
54,What's Left of Me,Nick Lachey,2006
55,So What,"Field Mob, Ciara",2006
56,Do It to It,"Cherish, Sean P",2006
57,Black Horse and the Cherry Tree,KT Tunstall,2006
58,There It Go (The Whistle Song),Juelz Santana,2006
59,Shoulder Lean,"Young Dro, T.I.",2006
60,Unpredictable,"Jamie Foxx, Ludacris",2006
61,My Love,"Justin Timberlake, T.I.",2006
62,Shake That,"Eminem, Nate Dogg",2006
63,Pullin' Me Back,"Chingy, Tyrese",2006
64,Bossy,"Kelis, Too Short",2006
65,Chain Hang Low,Jibbs,2006
66,Smack That,"Akon, Eminem",2006
67,One Wish,Ray J,2006
68,"Sugar, We're Goin Down",Fall Out Boy,2006
69,Gimme That,"Chris Brown, Lil Wayne",2006
70,I Know You See It,Yung Joc,2006
71,Who Says You Can't Go Home,"Bon Jovi, Jennifer Nettles",2006
72,Too Little Too Late,JoJo,2006
73,Touch It,Busta Rhymes,2006
74,Rompe,Daddy Yankee,2006
75,Déjà Vu,"Beyoncé, Jay-Z",2006
76,Life Is a Highway,Rascal Flatts,2006
77,Call Me When You're Sober,Evanescence,2006
78,"Jesus, Take the Wheel",Carrie Underwood,2006
79,Show Stopper,"Danity Kane, Yung Joc",2006
80,Get Up,"Ciara, Chamillionaire",2006
81,We Be Burnin',Sean Paul,2006
82,Hate Me,Blue October,2006
83,You and Me,Lifehouse,2006
84,Beep,"Pussycat Dolls, will.i.am",2006
85,I Think They Like Me,"Dem Franchize Boyz, Jermaine Dupri, Da Brat, Bow Wow",2006
86,Say Goodbye,Chris Brown,2006
87,Waiting on the World to Change,John Mayer,2006
88,Soul Survivor,"Young Jeezy, Akon",2006
89,Pump It,The Black Eyed Peas,2006
90,When I'm Gone,Eminem,2006
91,Hung Up,Madonna,2006
92,Stay Fly,"Three 6 Mafia, Young Buck, 8Ball & MJG",2006
93,Love,Keyshia Cole,2006
94,When You're Mad,Ne-Yo,2006
95,Why You Wanna,T.I.,2006
96,Stupid Girls,Pink,2006
97,Feel Good Inc.,Gorillaz,2006
98,I'm Sprung,T-Pain,2006
99,Do I Make You Proud,Taylor Hicks,2006
100,For You I Will (Confidence),Teddy Geiger,2006
