rank,song_title,artist,year
1,We Belong Together,Mariah Carey,2005
2,Hollaback Girl,Gwen Stefani,2005
3,Let Me Love You,Mario,2005
4,Since U Been Gone,Kelly Clarkson,2005
5,"1, 2 Step","Ciara, Missy Elliott",2005
6,Gold Digger,"Kanye West, Jamie Foxx",2005
7,Boulevard of Broken Dreams,Green Day,2005
8,Candy Shop,"50 Cent, Olivia",2005
9,Don't Cha,"The Pussycat Dolls, Busta Rhymes",2005
10,Behind These Hazel Eyes,Kelly Clarkson,2005
11,Disco Inferno,50 Cent,2005
12,You and Me,Lifehouse,2005
13,Don't Phunk with My Heart,The Black Eyed Peas,2005
14,Lose Control,"Missy Elliott, Ciara, Fatman Scoop",2005
15,Shake It Off,Mariah Carey,2005
16,Mr. Brightside,The Killers,2005
17,Just a Lil Bit,50 Cent,2005
18,Pon de Replay,Rihanna,2005
19,How We Do,"The Game, 50 Cent",2005
20,Beverly Hills,Weezer,2005
21,Oh,"Ciara, Ludacris",2005
22,Lonely No More,Rob Thomas,2005
23,Drop It Like It's Hot,"Snoop Dogg, Pharrell",2005
24,Hate It or Love It,"The Game, 50 Cent",2005
25,Lovers & Friends,"Lil Jon, Usher, Ludacris",2005
26,Soldier,"Destiny's Child, T.I., Lil Wayne",2005
27,Breakaway,Kelly Clarkson,2005
28,Switch,Will Smith,2005
29,Let Me Hold You,"Bow Wow, Omarion",2005
30,Like You,"Bow Wow, Ciara",2005
31,Rich Girl,"Gwen Stefani, Eve",2005
32,My Humps,The Black Eyed Peas,2005
33,Obsession (No Es Amor),"Frankie J, Baby Bash",2005
34,Caught Up,Usher,2005
35,Listen to Your Heart,"DHT, Edmee",2005
36,Scars,Papa Roach,2005
37,Feel Good Inc.,Gorillaz,2005
38,Let Me Go,3 Doors Down,2005
39,Holiday,Green Day,2005
40,"Sugar, We're Goin Down",Fall Out Boy,2005
41,Grind with Me,Pretty Ricky,2005
42,Run It!,"Chris Brown, Juelz Santana",2005
43,Photograph,Nickelback,2005
44,Lonely,Akon,2005
45,Collide,Howie Day,2005
46,Wake Me Up When September Ends,Green Day,2005
47,Slow Down,Bobby Valentino,2005
48,Over and Over,"Nelly, Tim McGraw",2005
49,Some Cut,Trillville,2005
50,Get It Poppin',"Fat Joe, Nelly",2005
51,Play,David Banner,2005
52,Soul Survivor,"Young Jeezy, Akon",2005
53,Pimpin' All Over the World,"Ludacris, Bobby Valentino",2005
54,My Boo,"Usher, Alicia Keys",2005
55,Sugar (Gimme Some),"Trick Daddy, Ludacris, Lil' Kim, Cee Lo Green",2005
56,Karma,Alicia Keys,2005
57,Speed of Sound,Coldplay,2005
58,I Don't Want to Be,Gavin DeGraw,2005
59,Mockingbird,Eminem,2005
60,La Tortura,"Shakira, Alejandro Sanz",2005
61,She Will Be Loved,Maroon 5,2005
62,Baby I'm Back,"Baby Bash, Akon",2005
63,Wait (The Whisper Song),Ying Yang Twins,2005
64,Incomplete,Backstreet Boys,2005
65,Bring Em Out,T.I.,2005
66,Cater 2 U,Destiny's Child,2005
67,1 Thing,Amerie,2005
68,Best of You,Foo Fighters,2005
69,It's Like That,"Mariah Carey, Jermaine Dupri, Fatman Scoop",2005
70,Goin' Crazy,Natalie,2005
71,Inside Your Heaven,Carrie Underwood,2005
72,Because of You,Kelly Clarkson,2005
73,Truth Is,Fantasia,2005
74,Your Body,Pretty Ricky,2005
75,Beautiful Soul,Jesse McCartney,2005
76,Cool,Gwen Stefani,2005
77,Get Back,Ludacris,2005
78,Outta Control,"50 Cent, Mobb Deep",2005
79,U Don't Know Me,T.I.,2005
80,These Words,Natasha Bedingfield,2005
81,Don't Lie,The Black Eyed Peas,2005
82,Get Right,Jennifer Lopez,2005
83,Daughters,John Mayer,2005
84,As Good as I Once Was,Toby Keith,2005
85,Girlfight,"Brooke Valentine, Lil Jon, Big Boi",2005
86,Lose My Breath,Destiny's Child,2005
87,Ordinary People,John Legend,2005
88,We Be Burnin',Sean Paul,2005
89,Just the Girl,The Click Five,2005
90,True,Ryan Cabrera,2005
91,O,Omarion,2005
92,Back Then,Mike Jones,2005
93,Numb/Encore,"Jay-Z, Linkin Park",2005
94,Wonderful,"Ja Rule, R. Kelly, Ashanti",2005
95,I'm Sprung,T-Pain,2005
96,Chariot,Gavin DeGraw,2005
97,U Already Know,"112, Foxy Brown",2005
98,Mississippi Girl,Faith Hill,2005
99,Number One Spot,Ludacris,2005
100,Give Me That,"Webbie, Bun B",2005
