rank,title,artist,year
1,Call Me Maybe,Carly Rae Jepsen,2012
2,Gangnam Style,Psy,2012
3,Battle Scars,{{Guy Sebastian}} feat. Lupe Fiasco,2012
4,Whistle,Flo Rida,2012
5,Wild Ones,Flo Rida feat. {{Sia}},2012
6,Starships,Nicki Minaj,2012
7,Boom Boom,{{Justice Crew}},2012
8,Skinny Love,Birdy,2012
9,Thrift Shop,Macklemore \& Ryan Lewis feat. Wanz,2012
10,Don't You Worry Child,Swedish House Mafia feat. John Martin,2012
11,Payphone,Maroon 5 feat. Wiz Khalifa,2012
12,We Are Young,Fun feat. Janelle Monae,2012
13,"Brother {""Into the Flame"" EP}",{{Matt Corby}},2012
14,Lego House,Ed Sheeran,2012
15,Some Nights,Fun,2012
16,Good Time,Owl City and Carly Rae Jepsen,2012
17,What Makes You Beautiful,One Direction,2012
18,One More Night,Maroon 5,2012
19,We Are Never Ever Getting Back Together,Taylor Swift,2012
20,Hall of Fame,The Script feat. Will.i.am,2012
21,Bangarang,Skrillex feat. Sirah,2012
22,One Thing,One Direction,2012
23,Boys Like You,{{360}} feat. {{Gossling}},2012
24,Paradise,Coldplay,2012
25,Earthquake,Labrinth feat. Tinie Tempah,2012
26,Bom Bom,Sam and The Womp,2012
27,I Knew You Were Trouble,Taylor Swift,2012
28,Locked Out of Heaven,Bruno Mars,2012
29,I Cry,Flo Rida,2012
30,Never Let Me Go,Florence + The Machine,2012
31,Feel the Love,Rudimental feat. John Newman,2012
32,Diamonds,Rihanna,2012
33,Ass Back Home,Gym Class Heroes feat. Neon Hitch,2012
34,Set it Off,{{Timomatic}},2012
35,Wide Awake,Katy Perry,2012
36,Throw Your Hands Up (Dancar Kuduro),Qwote feat. Pitbull and Lucenzo,2012
37,Sexy and I Know It,LMFAO,2012
38,"Little Talks {""Into the Woods"" EP}",Of Monsters and Men,2012
39,Back in Time,Pitbull,2012
40,Somebody That I Used to Know,{{Gotye}} feat. Kimbra,2012
41,I Won't Let You Go,James Morrison,2012
42,Lonely Boy,The Black Keys,2012
43,Die Young,Kesha,2012
44,Turn Me On,David Guetta feat. Nicki Minaj,2012
45,Part of Me,Katy Perry,2012
46,Don't Wake Me Up,Chris Brown,2012
47,Scream \& Shout,Will.i.am feat. Britney Spears,2012
48,Blow Me (One Last Kiss),Pink,2012
49,Sitting on Top of the World,{{Delta Goodrem}},2012
50,Hey Hey Hey (Pop Another Bottle),Laurent Wery feat. Swift K.I.D \& Dev,2012
51,Try,Pink,2012
52,"Spectrum (Say My Name) (Calvin Harris Remix) {""Spectrum (Say My Name) (Remixes)"" EP}",Florence + The Machine,2012
53,Where Have You Been {Re-Entry},Rihanna,2012
54,Pumped Up Kicks,Foster the People,2012
55,Sweet Nothing,Calvin Harris feat. Florence Welch,2012
56,Drive By,Train,2012
57,Turn All the Lights On,T-Pain feat. Ne-Yo,2012
58,She Wolf (Falling to Pieces),David Guetta feat. {{Sia}},2012
59,Summer Paradise,Simple Plan feat. K'naan,2012
60,"Young, Wild \& Free",Snoop Dogg \& Wiz Khalifa feat. Bruno Mars,2012
61,I Love It,{{Hilltop Hoods}} feat. {{Sia}},2012
62,Boyfriend,Justin Bieber,2012
63,I Love It,Icona Pop feat. Charli XCX,2012
64,Fight for You,Jason Derulo,2012
65,Turn Up the Love,Far East Movement feat. Cover Drive,2012
66,Take Care,Drake feat. Rihanna,2012
67,A Thousand Years,Christina Perri,2012
68,Beauty and a Beat,Justin Bieber feat. Nicki Minaj,2012
69,Girl on Fire (Inferno Version),Alicia Keys feat. Nicki Minaj,2012
70,Turn Up the Music,Chris Brown,2012
71,We'll Be Coming Back,Calvin Harris feat. Example,2012
72,Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,2012
73,The Fighter,Gym Class Heroes feat. Ryan Tedder,2012
74,What You've Done to Me,{{Samantha Jade}},2012
75,Good Feeling,Flo Rida,2012
76,Levels,Avicii,2012
77,Live While We're Young,One Direction,2012
78,As Long as You Love Me,Justin Bieber feat. Big Sean,2012
79,Don't Worry Be Happy,{{Guy Sebastian}},2012
80,This is Love,Will.i.am feat. Eva Simons,2012
81,Mind Your Manners,Chiddy Bang feat. Icona Pop,2012
82,Wings,Little Mix,2012
83,If Looks Could Kill,{{Timomatic}},2012
84,How We Do (Party),Rita Ora,2012
85,Party Rock Anthem,LMFAO feat. Lauren Bennett and GoonRock,2012
86,Count on Me,Bruno Mars,2012
87,Pound the Alarm,Nicki Minaj,2012
88,I'm All Yours,Jay Sean feat. Pitbull,2012
89,We Found Love,Rihanna feat. Calvin Harris,2012
90,I Will Wait,Mumford \& Sons,2012
91,The A Team,Ed Sheeran,2012
92,Both of Us,B.o.B feat. Taylor Swift,2012
93,Moves Like Jagger,Maroon 5 feat. Christina Aguilera,2012
94,Scream,Usher,2012
95,Hangover,Taio Cruz feat. Flo Rida,2012
96,International Love,Pitbull feat. Chris Brown,2012
97,Brokenhearted,Karmin,2012
98,Dedication to My Ex (Miss That),Lloyd feat. Andre 3000 \& Lil Wayne,2012
99,What Doesn't Kill You (Stronger),Kelly Clarkson,2012
100,Live My Life,Far East Movement feat. Justin Bieber,2012
