rank,title,artist,year
1,Blinding Lights,The Weeknd,2020
2,Roses (Imanbek Remix),Saint Jhn,2020
3,Don't Start Now,Dua Lipa,2020
4,Dance Monkey,{{Tones and I}},2020
5,Rockstar,DaBaby feat. Roddy Ricch,2020
6,Watermelon Sugar,Harry Styles,2020
7,Circles,Post Malone,2020
8,Before You Go,Lewis Capaldi,2020
9,Intentions,Justin Bieber feat. Quavo,2020
10,Say So,Doja Cat,2020
11,Adore You,Harry Styles,2020
12,Savage Love (Laxed - Siren Beat),Jawsh 685 \& Jason Derulo,2020
13,Someone You Loved,Lewis Capaldi,2020
14,The Box,Roddy Ricch,2020
15,You Should Be Sad,Halsey,2020
16,Breaking Me,Topic feat. A7S,2020
17,Mood,24kGoldn feat. Iann Dior,2020
18,Ride It,Regard,2020
19,WAP,Cardi B feat. Megan Thee Stallion,2020
20,Death Bed,Powfu feat. Beabadoobee,2020
21,Memories,Maroon 5,2020
22,Bad Guy,Billie Eilish,2020
23,Head \& Heart,Joel Corry feat. MNEK,2020
24,Never Seen the Rain,{{Tones and I}},2020
25,What's Poppin,Jack Harlow,2020
26,Supalonely,Benee feat. Gus Dapperton,2020
27,Rushing Back,{{Flume}} feat. {{Vera Blue}},2020
28,Pump it Up,Endor,2020
29,Roxanne,Arizona Zervas,2020
30,Lose Control,"Meduza, Becky Hill \& Goodboys",2020
31,Break My Heart,Dua Lipa,2020
32,Sunday Best,Surfaces,2020
33,Godzilla,Eminem feat. Juice Wrld,2020
34,Live in Life,{{The Rubens}},2020
35,Rain on Me,Lady Gaga \& Ariana Grande,2020
36,This City,{{Sam Fischer}},2020
37,Toosie Slide,Drake,2020
38,Everything I Wanted,Billie Eilish,2020
39,Life is Good,Future feat. Drake,2020
40,Savage,Megan Thee Stallion,2020
41,Falling,Trevor Daniel,2020
42,July,Noah Cyrus,2020
43,Blueberry Faygo,Lil Mosey,2020
44,Post Malone,Sam Feldt feat. Rani,2020
45,Rover,S1mba feat. DTG,2020
46,Go Crazy,Chris Brown \& Young Thug,2020
47,Sunflower,Post Malone \& Swae Lee,2020
48,Good as Hell {Released in 2016},Lizzo,2020
49,Glitter,Benee,2020
50,You Broke Me First,Tate McRae,2020
51,Physical,Dua Lipa,2020
52,Stuck With U,Ariana Grande \& Justin Bieber,2020
53,Old Town Road,Lil Nas X,2020
54,What a Man Gotta Do,Jonas Brothers,2020
55,I Don't Care,Ed Sheeran \& Justin Bieber,2020
56,Some Say (Felix Jaehn Remix),Nea,2020
57,If the World Was Ending,JP Saxe feat. Julia Michaels,2020
58,Purple Hat,Sofi Tukker,2020
59,Yummy,Justin Bieber,2020
60,Sugar {Re-Entry},Brockhampton,2020
61,Shallow,Lady Gaga \& Bradley Cooper,2020
62,Know Your Worth,Khalid \& Disclosure,2020
63,Highest in the Room,Travis Scott,2020
64,Be Kind,Marshmello \& Halsey,2020
65,Maniac,Conan Gray,2020
66,"10,000 Hours",Dan + Shay \& Justin Bieber,2020
67,Be Alright,{{Dean Lewis}},2020
68,Senorita,Shawn Mendes \& Camila Cabello,2020
69,One Thing Right,Marshmello \& Kane Brown,2020
70,Perfect,Ed Sheeran,2020
71,Boss Bitch,Doja Cat,2020
72,Youngblood,{{5 Seconds of Summer}},2020
73,Lemonade,Internet Money \& Gunna feat. Don Toliver \& Nav,2020
74,Come \& Go,Juice Wrld \& Marshmello,2020
75,ILY (I Love You Baby),Surf Mesa feat. Emilee,2020
76,Look Into My Eyes,Brando,2020
77,Eastside,"Benny Blanco, Halsey \& Khalid",2020
78,Falling,Harry Styles,2020
79,Bruises,Lewis Capaldi,2020
80,Castles,Freya Ridings,2020
81,Holy,Justin Bieber feat. Chance the Rapper,2020
82,Beautiful People,Ed Sheeran feat. Khalid,2020
83,For the Night,Pop Smoke feat. Lil Baby \& DaBaby,2020
84,Lucid Dreams {Re-Entry},Juice Wrld,2020
85,Bad Child,{{Tones and I}},2020
86,Sicko Mode {Re-Entry},Travis Scott,2020
87,Secrets,Regard \& Raye,2020
88,The Less I Know the Better {Re-Entry},{{Tame Impala}},2020
89,Take You Dancing,Jason Derulo,2020
90,South of the Border,Ed Sheeran feat. Camila Cabello \& Cardi B,2020
91,In Your Eyes,The Weeknd,2020
92,Midnight Sky,Miley Cyrus,2020
93,Party Girl,StaySolidRocky,2020
94,Hot Girl Bummer,Blackbear,2020
95,Piece of Your Heart,Meduza feat. Goodboys,2020
96,Dynamite,BTS,2020
97,Say You Won't Let Go,James Arthur,2020
98,Lose Somebody,Kygo \& OneRepublic,2020
99,Choir,{{Guy Sebastian}},2020
100,Shotgun,George Ezra,2020
