rank,song_title,artist,featuring_artists,year,track_mbid,artist_mbid,duration,genre
1,Lose Control,Teddy Swims,[],2024,e4733d45-75fa-4bf2-a0d6-9835a67e53b7,35feae82-8b2c-4f8f-ae7a-af5662848947,210000,"['soul', 'pop', 'rnb']"
2,A Bar Song (Tipsy),Shaboozey,[],2024,1108d460-6705-4eaf-8a4e-b1d86dde5c85,0b427dad-1ee5-48f1-aa4b-026680a3338e,171000,"['country', 'pop']"
3,Beautiful Things,Benson Boone,[],2024,292effe0-7b50-4eee-bb16-cf470b2a503d,62b914a7-d775-4bb4-bb5e-d46e7df115b5,180000,"['pop', 'emo']"
4,I Had Some Help,Post Malone,['Morgan Wallen'],2024,8290f2d3-59ee-4806-8fda-5149de94f799,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,178000,[]
5,Lovin on Me,Jack Harlow,[],2024,be26a5d7-6845-429c-8742-7b0fe5955e45,134cb0bc-06fa-42f7-8078-b0c858349975,138000,"['rap', 'hip hop']"
6,Not Like Us,Kendrick Lamar,[],2024,88f628b8-5564-4c70-9a07-8a66d14bf7be,381086ea-f511-4aba-bdf9-71c753dc5077,275000,[]
7,Espresso,Sabrina Carpenter,[],2024,7e0a8814-ccd2-44c1-8f69-415ad9fd6696,1882fe91-cdd9-49c9-9956-8e06a3810bd4,175000,['pop']
8,Million Dollar Baby,Tommy Richman,[],2024,8eaa7bc3-0fef-4027-8a91-c26aba8024eb,741a6c80-2d6e-4522-9de4-e070798a2d30,155000,['rnb']
9,I Remember Everything,Zach Bryan,['Kacey Musgraves'],2024,,51e90731-08c0-4f60-89b6-5b78e5844de8,275000,[]
10,Too Sweet,Hozier,[],2024,bcddd6a9-b66f-4993-9b7a-75a78b476373,b4691384-50c3-4afd-9988-51d3ec5db65d,251000,['pop']
11,Stick Season,Noah Kahan,[],2024,b6aeb26d-31fb-42f3-9339-905b36fcf5a7,a2a3f910-b188-43e7-81d0-f1ac2a2f3e12,181000,"['indie', 'folk']"
12,Cruel Summer,Taylor Swift,[],2024,7b3f37a2-850e-499e-95e9-f3fbf0f40331,20244d07-534f-4eff-b4d4-930878889970,178000,['pop']
13,Greedy,Tate McRae,[],2024,579ede57-ecd8-4763-a0fa-3128086c75b4,f9133869-f87c-459c-9aa7-2f176cda7e06,131000,"['pop', 'dance', 'rnb']"
14,Like That,Future & Metro Boomin and Kendrick Lamar,[],2024,,,,[]
15,Birds of a Feather,Billie Eilish,[],2024,3a7e1970-069c-4761-a6b2-9046e54406bc,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,183000,['pop']
16,Please Please Please,Sabrina Carpenter,[],2024,f9f27e61-bcf0-4b3a-901c-e2e4113dfd7b,1882fe91-cdd9-49c9-9956-8e06a3810bd4,186000,['pop']
17,Agora Hills,Doja Cat,[],2024,acc7790a-dff9-40c1-ab5c-72d601e45bba,5df62a88-cac9-490a-b62c-c7c88f4020f4,265000,"['rnb', 'rap', 'hip hop']"
