rank,song_title,artist,featuring_artists,year,track_mbid,artist_mbid,duration,genre
1,Blinding Lights,The Weeknd,[],2020,,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,200000,['pop']
2,Circles,Post Malone,[],2020,0025eb0c-9832-4446-b5cd-90f7f5cca285,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,213000,['pop']
3,The Box,Roddy Ricch,[],2020,9d7dabef-b1f7-4ab3-b788-085e875d4d61,5721c227-4caf-48b1-bbfc-1a4ed3276963,196000,"['rap', 'hip hop']"
4,Don't Start Now,Dua Lipa,[],2020,6090c671-606f-4704-85c6-8a0c33763a3d,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,183000,"['pop', 'dance']"
5,Rockstar,DaBaby & Roddy Ricch,[],2020,8631d6d0-59c8-47c5-a794-3655ce46e15b,,182000,[]
6,Adore You,Harry Styles,[],2020,bf02e5a2-3f7e-4e1f-8253-b592c11befea,7eb1ce54-a355-41f9-8d68-e018b096d427,207000,"['pop', 'rock']"
7,Life Is Good,Future & Drake,[],2020,,,0,[]
8,Memories,Maroon 5,[],2020,,0ab49580-c84f-44d4-875f-d83760ea2cfe,187000,"['pop', 'rock']"
9,The Bones,Maren Morris,[],2020,1187320e-8bd0-40a0-a0a1-f85bcbfa2b30,109357f0-eb37-4672-9697-dca8c83a61b5,196000,[]
10,Someone You Loved,Lewis Capaldi,[],2020,,526aab94-697f-44a9-b630-41d1c0505953,182000,['pop']
11,Say So,Doja Cat,[],2020,40c7724e-d680-43bf-8ad5-96284b2feb98,5df62a88-cac9-490a-b62c-c7c88f4020f4,239000,"['pop', 'rap']"
12,I Hope,Gabby Barrett & Charlie Puth,[],2020,66fccd9a-6d4e-4775-afc2-d3b7af825cff,,209000,[]
13,Whats Poppin,Jack Harlow & DaBaby & Tory Lanez & Lil Wayne,[],2020,,,0,[]
14,Dance Monkey,Tones and I,[],2020,,663f33f4-8e5f-4773-93ea-493a1135de9a,209000,[]
15,Savage,Megan Thee Stallion & Beyoncé,[],2020,,,0,[]
16,Roxanne,Arizona Zervas,[],2020,d1e54f24-b31b-43a7-9c50-796080e374b2,aa4296e3-f61c-46b5-b4fa-abce5bb62ffb,165000,['rap']
17,Intentions,Justin Bieber & Quavo,[],2020,a6bbe74f-4de3-47f7-b957-f8a5a86423d4,,213000,[]
18,Everything I Wanted,Billie Eilish,[],2020,c205a615-d1ee-468c-9fca-dda3cf8f9937,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,245000,"['pop', 'indie']"
19,Roses (Imanbek remix),Saint Jhn,[],2020,8854f715-9170-4a99-bee0-d4a282cd6140,0f16ba6c-1874-42b9-b7a6-e060c2be454e,176000,[]
20,Watermelon Sugar,Harry Styles,[],2020,1ab009f2-d713-4f85-b4a3-c383c344e24a,7eb1ce54-a355-41f9-8d68-e018b096d427,174000,"['pop', 'rock']"
21,Before You Go,Lewis Capaldi,[],2020,,526aab94-697f-44a9-b630-41d1c0505953,215000,"['alternative', 'indie']"
22,Falling,Trevor Daniel,[],2020,e4c2bb8c-06e8-4539-bd62-12ffdb1f912d,6eb5cc6b-8553-4049-abf5-1ace1b6d9e59,160000,['pop']
23,"10,000 Hours",Dan + Shay & Justin Bieber,[],2020,,,0,[]
24,WAP,Cardi B & Megan Thee Stallion,[],2020,bdff9ffd-ed22-43ad-ab70-87b787f9014f,,187000,[]
25,Ballin',Mustard & Roddy Ricch,[],2020,f1335e31-27c0-43f4-b373-234af323ee12,,180000,[]
26,Hot Girl Bummer,Blackbear,[],2020,000c81ee-bc19-4fa0-ae9f-856ec9a92c3c,e07d9474-00ea-4460-ac27-88b46b3d976e,185000,"['rnb', 'rap']"
27,Blueberry Faygo,Lil Mosey,[],2020,,330e00e4-7991-4b47-b2be-3881aa5afed6,162000,['rap']
28,Heartless,The Weeknd,[],2020,c3ddb911-0e63-4116-b66b-4d62dfa590ec,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,198000,"['rnb', 'rap']"
29,Bop,DaBaby,[],2020,06cf2dab-357e-4496-a2f4-4a0707f07e4d,87ae83df-6173-40cc-a0f2-bad543faa6aa,159000,"['rap', 'hip hop']"
30,Lose You to Love Me,Selena Gomez,[],2020,,e4bc69e2-a064-4f93-ada1-f7f209cc1cc3,206000,['pop']
31,Good as Hell,Lizzo,[],2020,7a57d87b-4df9-4171-ad0d-2f426046ebeb,8fb5370b-9568-4b61-9da5-2aa12c9928db,159000,[]
32,Toosie Slide,Drake,[],2020,02e9fac6-2231-4c09-922f-e9d9172f81b7,9fff2f8a-21e6-47de-a2b8-7f449929d43f,247000,"['rap', 'hip hop']"
33,Break My Heart,Dua Lipa,[],2020,ba2a214d-39b0-4b53-8b20-b2b80cf9bfab,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,221000,"['pop', 'dance']"
34,Chasin' You,Morgan Wallen,[],2020,0f8cfef7-94f1-4fc0-b200-421ec69f0378,2077273e-eaa1-4f49-903c-f286ededecb9,205000,[]
35,Savage Love (Laxed – Siren Beat),Jawsh 685 & Jason Derulo,[],2020,,,0,[]
36,No Guidance,Chris Brown & Drake,[],2020,9ca5906b-a371-4607-8c32-de968d13f0ce,,260000,[]
37,My Oh My,Camila Cabello & DaBaby,[],2020,,,0,[]
38,Dynamite,BTS,[],2020,db965fe4-9e56-4fc7-837b-b2a0dcdb3206,0d79fe8e-ba27-4859-bb8c-2f255f346853,199000,['pop']
39,Go Crazy,Chris Brown & Young Thug,[],2020,5f5c5714-ed78-4434-ad25-ea939e54582b,,176000,[]
40,High Fashion,Roddy Ricch & Mustard,[],2020,,,0,[]
41,Laugh Now Cry Later,Drake & Lil Durk,[],2020,a2a0b641-694a-4603-9919-807bcb919dbd,,261000,[]
42,Woah,Lil Baby,[],2020,c8bd8e79-6895-46e8-8982-de4d251c1b6d,d42a5768-ada1-4fb6-85fd-f61aba6264e0,183000,[]
43,Death Bed,Powfu & Beabadoobee,[],2020,,,0,[]
44,Señorita,Shawn Mendes & Camila Cabello,[],2020,,,190000,[]
45,Highest in the Room,Travis Scott,[],2020,1ac7b5b2-ede9-43a7-a01d-3d71b32a768d,e4a51f17-a57b-47b1-b37b-f552d0f8e9e6,175000,['rap']
46,Bad Guy,Billie Eilish,[],2020,a0fa346a-4c7c-4a16-b8ea-44af865b5323,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,194000,['pop']
47,Mood,24kGoldn & Iann Dior,[],2020,c09fb388-fe11-4436-b57b-39743f17a59d,,140000,[]
48,Rain on Me,Lady Gaga & Ariana Grande,[],2020,a0eb8c91-e3ce-4fef-a9d7-3d03753c6ece,,182000,[]
49,For the Night,Pop Smoke & Lil Baby & DaBaby,[],2020,,,0,[]
50,Ritmo (Bad Boys for Life),Black Eyed Peas & J Balvin,[],2020,17a1bf28-43b4-497a-ae77-dd1960775727,,0,[]
51,Heart on Ice,Rod Wave,[],2020,491ea730-c6ed-4429-98bb-3c9bde4e4285,cb3d3e49-bf08-4cdb-bfa8-4dc7c458cea1,159000,[]
52,Nobody but You,Blake Shelton & Gwen Stefani,[],2020,e13329a9-4a8b-488b-84fa-eb9b35843bcb,,194000,[]
53,Trampoline,Shaed,[],2020,358d088f-7d37-45fa-af60-04a39b5f154f,,184000,[]
54,Come & Go,Juice Wrld & Marshmello,[],2020,9af0c4a5-1d3d-4fb1-854b-4f5d64d9aeda,,205000,[]
55,Truth Hurts,Lizzo,[],2020,02994c16-2f1b-4194-9520-245192f10255,8fb5370b-9568-4b61-9da5-2aa12c9928db,173000,[]
56,If the World Was Ending,JP Saxe & Julia Michaels,[],2020,7100d144-63be-45c8-9523-4c28825fbd4f,,209000,[]
57,We Paid,Lil Baby & 42 Dugg,[],2020,6bc1dbbe-ef07-49d1-9539-dc3507d440c9,,181000,[]
58,Yummy,Justin Bieber,[],2020,,e0140a67-e4d1-4f13-8a01-364355bee46e,208000,[]
59,One Man Band,Old Dominion,[],2020,dd3d3bb0-16cc-4b12-8850-a1c4c07104c2,6aee16a0-bb7e-45a8-8879-d965a25ae310,186000,[]
60,Got What I Got,Jason Aldean,[],2020,3136a5a6-31e3-4caa-b79d-c0d0aeb9d011,f24df11a-7e35-4979-a4db-a3b2a170ce27,178000,[]
61,Sunday Best,Surfaces,[],2020,,ae515b61-757e-49c2-b78b-b6534b255c83,158000,[]
62,Godzilla,Eminem & Juice Wrld,[],2020,3440e6c9-2e08-4605-bf99-87d3974406ed,,210000,[]
63,Bandit,Juice Wrld & YoungBoy Never Broke Again,[],2020,8c361b36-a6c0-4ae3-b9db-3e6765cd208f,,0,[]
64,Party Girl,StaySolidRocky,[],2020,e9cc4e6b-9200-4069-84a4-e351699ae1ab,c613510c-90f8-4da0-970b-a71f607016fe,149000,[]
65,Die from a Broken Heart,Maddie & Tae,[],2020,09c5668a-726a-4269-9528-132503d08ddd,c1c02051-0305-4095-8817-30df19c0b79f,188000,[]
66,Popstar,DJ Khaled & Drake,[],2020,,,0,[]
67,All I Want for Christmas Is You,Mariah Carey,[],2020,a6fab057-cf3a-4456-950e-d3edaf219326,494e8d09-f85b-4543-892f-a5096aed1cd4,241000,[]
68,One of Them Girls,Lee Brice,[],2020,62dc41f2-d761-441f-afea-6da54c466f36,48a6d065-1fda-4280-ae39-df1394d419cd,188000,[]
69,Hard to Forget,Sam Hunt,[],2020,,be9a991d-319c-4a58-b115-ee3f4bb3613d,204000,[]
70,One Margarita,Luke Bryan,[],2020,,aab35942-f176-4f77-bbf9-1d6aa98ccf3f,193000,[]
71,Panini,Lil Nas X,[],2020,8c16f7a5-61fb-4c77-aeed-64f9029fcaf8,0b30341b-b59d-4979-8130-b66c0e475321,114000,[]
72,Hot,Young Thug & Gunna,[],2020,,,0,[]
73,I Hope You're Happy Now,Carly Pearce & Lee Brice,[],2020,164672a3-6b07-4fb7-93c4-18cc6c005aae,,198000,[]
74,Emotionally Scarred,Lil Baby,[],2020,b83308d8-3c81-40b6-a012-fdc28817d6f6,d42a5768-ada1-4fb6-85fd-f61aba6264e0,197000,[]
75,Suicidal,YNW Melly & Juice Wrld,[],2020,,,0,[]
76,The Bigger Picture,Lil Baby,[],2020,13157f82-8443-404e-8096-b06a756b178e,d42a5768-ada1-4fb6-85fd-f61aba6264e0,252000,[]
77,Only Human,Jonas Brothers,[],2020,33000760-ed1d-4f38-a19a-44744790bacc,6e019bc6-5c23-4935-94f0-4a896631d846,183000,[]
78,The Woo,Pop Smoke & 50 Cent & Roddy Ricch,[],2020,,,0,[]
79,Sum 2 Prove,Lil Baby,[],2020,073d3270-5126-4047-abd2-7c1e2ba8a1d3,d42a5768-ada1-4fb6-85fd-f61aba6264e0,206000,['rap']
80,Stuck with U,Ariana Grande & Justin Bieber,[],2020,b25a098b-7935-4570-9edc-feb600c17129,,228000,[]
81,Mood Swings,Pop Smoke & Lil Tjay,[],2020,,,0,[]
82,You Should Be Sad,Halsey,[],2020,b2899b23-b8a7-478a-b063-32e014461059,3377f3bb-60fc-4403-aea9-7e800612e060,205000,[]
83,Dior,Pop Smoke,[],2020,8f04b5c9-7606-4878-96d7-f8be63e29c5a,253c9ae7-850b-46be-8fbb-65e9fa621058,218000,[]
84,Supalonely,Benee & Gus Dapperton,[],2020,ed94a147-5df0-4ded-bcfd-6ed9aff2bf66,,223000,[]
85,Even Though I'm Leaving,Luke Combs,[],2020,18736ca1-2e85-4100-a74f-512ab018aeb5,c20ee61f-071f-4e65-9c81-45ee931a54ce,225000,[]
86,The Scotts,Travis Scott & Kid Cudi,[],2020,,,0,[]
87,Juicy,Doja Cat & Tyga,[],2020,0e95cc3b-7f1f-4d85-a25f-1e0f7fe288fd,,202000,[]
88,Be Like That,Kane Brown & Swae Lee & Khalid,[],2020,,,0,[]
89,Homesick,Kane Brown,[],2020,,a62e299b-4707-4ff5-ad53-d80b2b03319d,205000,[]
90,Rags2Riches,Rod Wave,[],2020,,cb3d3e49-bf08-4cdb-bfa8-4dc7c458cea1,167000,[]
91,Bluebird,Miranda Lambert,[],2020,00204b51-f492-423d-b647-2cf84de4df94,4eca1aa0-c79f-481b-af8a-4a2d6c41aa5c,209000,[]
92,Wishing Well,Juice Wrld,[],2020,bf0a4893-23e3-4fc1-a5d3-d7c68cd98098,4e4ebde4-0c56-4dec-844b-6c73adcdd92d,193000,['rap']
93,Does to Me,Luke Combs & Eric Church,[],2020,533c334f-7ce9-43bf-9739-44d1834fd0a1,,223000,[]
95,ILY (I Love You Baby),Surf Mesa,[],2020,,5ed8f4ac-3ae8-4a83-9ff9-565510c7f6e5,176000,[]
96,More Than My Hometown,Morgan Wallen,[],2020,157b853e-0fd1-431a-9368-252eb6948ac6,2077273e-eaa1-4f49-903c-f286ededecb9,216000,[]
97,Lovin' on You,Luke Combs,[],2020,10ec212b-217a-4084-a47c-9c9435672be4,c20ee61f-071f-4e65-9c81-45ee931a54ce,0,[]
