rank,song_title,artist,featuring_artists,year,track_mbid,artist_mbid,duration,genre
1,Heat Waves,Glass Animals,[],2022,,20395131-fbde-43ce-b141-b700cfdae99c,238000,"['indie', 'pop', 'rnb']"
2,As It Was,Harry Styles,[],2022,ca05e074-1c11-4587-ba3d-cc6c8b8c3714,7eb1ce54-a355-41f9-8d68-e018b096d427,165000,['pop']
3,Stay,The Kid Laroi & Justin Bieber,[],2022,14d20e85-6c24-44a8-8e98-1d7237732c55,,141000,[]
4,Easy on Me,Adele,[],2022,327f17da-5416-4ba6-90a4-ff4e4cf068c7,cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,225000,"['pop', 'soul']"
5,Shivers,Ed Sheeran,[],2022,d199de3b-e552-410e-b45e-eaf178b763dc,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,207000,['pop']
6,First Class,Jack Harlow,[],2022,b6fc6286-4b1b-4ac9-917a-f1238caeef20,134cb0bc-06fa-42f7-8078-b0c858349975,173000,['rap']
7,Big Energy,Latto,[],2022,0f35f080-edf1-4353-b09d-a6b8cd1bc0cf,355cc194-b8db-4af2-8678-c7ad54213f4b,172000,[]
8,Ghost,Justin Bieber,[],2022,0b57f0ad-39c2-4880-a660-6e6eea7620c6,e0140a67-e4d1-4f13-8a01-364355bee46e,153000,"['electronic', 'pop', 'dance']"
9,Super Gremlin,Kodak Black,[],2022,5ddfafd3-5307-4c26-85a9-da490f7f225a,5ec1ecc6-4535-4911-a27a-e26343f4a189,200000,[]
10,Cold Heart (Pnau remix),Elton John & Dua Lipa,[],2022,a3906438-a1b2-403d-a7c2-7f48fca0a586,,202000,[]
11,Wait for U,Future & Drake & Tems,[],2022,,,0,[]
12,About Damn Time,Lizzo,[],2022,29c1a473-2412-453d-8698-34a70f71c587,8fb5370b-9568-4b61-9da5-2aa12c9928db,191000,"['pop', 'funk']"
13,Bad Habits,Ed Sheeran,[],2022,2d24a8d7-66ad-40b2-8ae7-5f6fc9981646,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,230000,"['pop', 'dance']"
14,Thats What I Want,Lil Nas X,[],2022,d796a70d-65c6-4ee8-bec7-1a3979c6cb78,0b30341b-b59d-4979-8130-b66c0e475321,144000,"['pop', 'rap']"
15,Enemy,Imagine Dragons & JID,[],2022,,,0,[]
16,Industry Baby,Lil Nas X & Jack Harlow,[],2022,ffb0e2ba-9853-44de-978d-bd2f3537dd43,,212000,[]
17,ABCDEFU,Gayle,[],2022,920dd9ae-190a-4026-9189-410ed9b82e48,18fa2604-c608-4e1a-9b9d-05d7360c5817,168000,[]
18,Need to Know,Doja Cat,[],2022,40dc3ac4-0020-440d-a573-d34ab64c3b9b,5df62a88-cac9-490a-b62c-c7c88f4020f4,210000,['rap']
19,Wasted on You,Morgan Wallen,[],2022,0bb90371-bee9-432e-a137-1c18e29a6039,2077273e-eaa1-4f49-903c-f286ededecb9,174000,[]
