rank,song_title,artist,featuring_artists,year,track_mbid,artist_mbid,duration,genre
1,God's Plan,Drake,[],2018,dec4c665-2b90-40f6-95b0-4d50dfefcc01,9fff2f8a-21e6-47de-a2b8-7f449929d43f,198000,['rap']
2,Perfect,Ed Sheeran,[],2018,b84dd2d1-2bf1-4fcc-aadc-6cc39c36ba35,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,263000,['pop']
3,Meant to Be,Bebe Rexha & Florida Georgia Line,[],2018,a0214343-d172-48bc-b597-4ee6fb2e3549,,164000,[]
4,Havana,Camila Cabello & Young Thug,[],2018,d782a964-71fe-4adb-af01-cd7769c32ae8,,216000,[]
5,Rockstar,Post Malone & 21 Savage,[],2018,3ad91539-18bc-4e3e-8022-7f2d1950ade4,,218000,[]
6,Psycho,Post Malone & Ty Dolla Sign,[],2018,,,0,[]
7,I Like It,Cardi B & Bad Bunny & J Balvin,[],2018,,,0,[]
8,The Middle,Zedd & Maren Morris & Grey,[],2018,,,0,[]
9,In My Feelings,Drake,[],2018,89e78796-60ee-4fb4-b63e-285e77903816,9fff2f8a-21e6-47de-a2b8-7f449929d43f,217000,['rap']
10,Girls Like You,Maroon 5 & Cardi B,[],2018,1df4a317-6968-442b-b85e-b0a7a794934e,,235000,[]
11,Nice for What,Drake,[],2018,d85d92c4-5ff0-4d20-96b1-3e28957d7618,9fff2f8a-21e6-47de-a2b8-7f449929d43f,210000,"['rap', 'hip hop']"
12,Lucid Dreams,Juice Wrld,[],2018,19bc9a65-fb28-4c32-9b79-81348bf75563,4e4ebde4-0c56-4dec-844b-6c73adcdd92d,239000,"['hip hop', 'rap']"
13,Better Now,Post Malone,[],2018,2b632288-0cca-4cc8-85cc-8272f862920e,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,231000,"['rap', 'rnb']"
14,Finesse,Bruno Mars & Cardi B,[],2018,,,283000,[]
15,Boo'd Up,Ella Mai,[],2018,4b8655d6-404f-47ee-9217-9f64d9a5ab05,89d42b97-8042-4c14-a596-a2ccaef5fc4c,256000,[]
16,New Rules,Dua Lipa,[],2018,76ac63ee-9b00-4f70-b443-1c0c3bd1e445,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,209000,"['pop', 'dance']"
17,Sad!,XXXTentacion,[],2018,bb1620e8-774b-4baa-acb4-565aae92c56d,61af87f4-16ee-4431-8504-cc06187079fb,166000,"['rap', 'emo']"
18,Never Be the Same,Camila Cabello,[],2018,9cad40db-6897-45be-8bbd-330df8f5ba14,01b8b5bf-06cb-45da-85fb-61ada72fcd69,226000,['pop']
19,Love Lies,Khalid & Normani,[],2018,53d3f945-529a-42ca-90b5-0059ad09a202,,195000,[]
20,No Tears Left to Cry,Ariana Grande,[],2018,708bfd0d-3b96-44b1-b89e-65b925498f26,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,223000,"['pop', 'dance']"
21,Mine,Bazzi,[],2018,2777ea12-6bbf-4e1c-8b68-ffd21b53c0d7,edf81f9b-d3f0-4d57-9636-d08e851b1640,131000,"['rnb', 'pop']"
22,Thunder,Imagine Dragons,[],2018,,012151a8-0f9a-44c9-997f-ebd68b5389f9,187000,"['pop', 'alternative', 'rock', 'indie']"
23,Look Alive,BlocBoy JB & Drake,[],2018,,,0,[]
24,Delicate,Taylor Swift,[],2018,4378282c-0996-47ef-a1ab-3b2af0762561,20244d07-534f-4eff-b4d4-930878889970,232000,['pop']
25,Yes Indeed,Lil Baby & Drake,[],2018,59dbcf89-7333-4d71-814c-d3adc681ff1a,,142000,[]
26,Friends,Marshmello & Anne-Marie,[],2018,13bc9a5c-ac80-4c20-93d3-47f832c49a49,,203000,[]
27,Bad at Love,Halsey,[],2018,437d915a-6e06-49f2-92ad-491594b47e61,3377f3bb-60fc-4403-aea9-7e800612e060,181000,"['pop', 'rnb', 'indie']"
28,Taste,Tyga & Offset,[],2018,,,0,[]
29,Let You Down,NF,[],2018,02b83093-fede-4b50-b035-02f1deef2e20,5660a8c7-d0d9-4181-89b4-8e125328e31e,209000,"['rap', 'hip hop']"
30,No Limit,G-Eazy & ASAP Rocky & Cardi B,[],2018,,,,[]
31,Fefe,6ix9ine & Nicki Minaj & Murda Beatz,[],2018,,,0,[]
32,Tequila,Dan + Shay,[],2018,,,0,[]
33,Feel It Still,Portugal. The Man,[],2018,,3599a39e-4e10-4cb5-90d4-c8a015ebc73b,177000,"['pop', 'indie', 'funk']"
34,MotorSport,Migos & Nicki Minaj & Cardi B,[],2018,,,0,[]
