rank,song_title,artist,featuring_artists,year,track_mbid,artist_mbid,duration,genre
1,Hanging by a Moment,Lifehouse,[],2001,7d5e3bdd-b0b1-47c4-9fb2-877a683f210c,04591295-6d94-45cb-b6c7-1ae17c6f380e,216000,[]
2,Fallin',Alicia Keys,[],2001,,8ef1df30-ae4f-4dbd-9351-1a32b208a01e,210000,"['soul', 'rnb', 'pop']"
3,All for You,Janet Jackson,[],2001,,6be2828f-6c0d-4059-99d4-fa18acf1a296,329000,[]
4,Drops of Jupiter (Tell Me),Train,[],2001,,bfd5aec5-62a2-4560-a316-7c46c17babda,260000,"['rock', 'alternative', 'pop']"
5,I'm Real,Jennifer Lopez & Ja Rule,[],2001,6d388c8a-3f1c-471c-9161-dd2fe5b95df4,f0602f55-1770-483d-89bd-4bae0d0ac086,297000,[]
6,If You're Gone,Matchbox Twenty,[],2001,9d18ec48-7961-4a40-838f-6879f36d7890,75af9d25-cf32-49c0-9192-60bd8e9784e6,285000,[]
7,Let Me Blow Ya Mind,Eve & Gwen Stefani,[],2001,c2d0b51c-90c7-455d-976d-5716bccabc38,,230000,[]
8,Thank You,Dido,[],2001,2464de67-c280-4aab-a003-b62709e39c53,d1353a0c-26fb-4318-a116-defde9c7c9ad,215000,['pop']
9,Again,Lenny Kravitz,[],2001,02076696-ffe7-3160-a773-e4752edc55dd,0ef3f425-9bd2-4216-9dd2-219d2fe90f1f,225000,[]
10,Independent Women Part I,Destiny's Child,[],2001,,,221000,[]
11,Hit 'Em Up Style (Oops!),Blu Cantrell,[],2001,721d364e-ff10-4940-bb20-d92f8402716b,f28cabfc-3cf5-4886-b832-36ab708fbb0a,237000,"['rnb', 'pop', 'soul']"
12,It Wasn't Me,Shaggy & Rikrok,[],2001,,fc63d806-ca89-4ea3-a404-ee6de695743f,227000,"['reggae', 'pop', 'rnb']"
13,Stutter,Joe & Mystikal,[],2001,,,0,[]
14,It's Been Awhile,Staind,[],2001,685d9ea9-44d1-48ad-a20d-98aa393a9021,777a21a8-0d0f-4cf3-86b4-65bc0eba5649,314000,"['rock', 'alternative']"
15,U Remind Me,Usher,[],2001,4d4bd21c-864f-4fca-9174-93a9e6577ad8,3414d446-735a-443c-931f-10634f57e5b9,267000,[]
