rank,song_title,artist,featuring_artists,year,track_mbid,artist_mbid,duration,genre
1,Yeah!,Usher & Lil Jon & Ludacris,[],2004,,,0,[]
2,Burn,Usher,[],2004,5203599c-b061-31d4-a791-6e69c120a59e,3414d446-735a-443c-931f-10634f57e5b9,249000,"['rnb', 'soul']"
3,If I Ain't Got You,Alicia Keys,[],2004,,8ef1df30-ae4f-4dbd-9351-1a32b208a01e,229000,"['soul', 'rnb']"
4,This Love,Maroon 5,[],2004,,0ab49580-c84f-44d4-875f-d83760ea2cfe,206000,"['pop', 'rock', 'alternative']"
5,The Way You Move,OutKast & Sleepy Brown,[],2004,f47cc792-4654-490d-82ab-cfdb79c81215,73fdb566-a9b1-494c-9f32-51768ec9fd27,189000,[]
6,The Reason,Hoobastank,[],2004,,2fa0d3ac-b64c-401a-b0a1-4915ba6cc157,233000,"['rock', 'alternative', 'pop']"
7,I Don't Wanna Know,Mario Winans & Enya & P. Diddy,[],2004,378b2d53-5451-4ab4-af16-0d198b06df79,5028a04d-c3b5-428d-9c88-433224bb10ba,229000,[]
8,Hey Ya!,OutKast,[],2004,7061f60c-d5fe-4a8a-a172-c458b904aa9e,73fdb566-a9b1-494c-9f32-51768ec9fd27,225000,"['funk', 'dance', 'pop', 'hip hop']"
9,Goodies,Ciara & Petey Pablo,[],2004,bc6d0597-b05f-4ee7-b151-a81b7876eac3,,224000,[]
10,Lean Back,Terror Squad & Fat Joe & Remy Ma,[],2004,,,0,[]
11,Tipsy,J-Kwon,[],2004,3d1bd52e-6bbc-41b4-94e1-fa582fd65019,,61000,[]
12,Confessions Part II,Usher,[],2004,4ebf14fc-c64b-4a96-9c69-e1bac81f4f7c,3414d446-735a-443c-931f-10634f57e5b9,228000,[]
13,Slow Motion,Juvenile & Soulja Slim,[],2004,2016e5a6-1787-490b-bc68-712bf3d0cbfc,,247000,[]
14,Freek-a-Leek,Petey Pablo,[],2004,01132c72-4e34-4c40-9e00-13599db6efc0,f9db232d-6513-43b7-b6cd-1d73bcd65a58,235000,['rap']
