rank,song_title,artist,featuring_artists,year,track_mbid,artist_mbid,duration,genre
1,Breathe,Faith Hill,[],2000,,406552d4-5ba1-4226-b7c0-367bc50fc767,246000,[]
2,Smooth,Santana & Rob Thomas,[],2000,02aef2e3-a382-46ee-bfb1-d891540f971b,9a3bf45c-347d-4630-894d-7cf3e8e0b632,350000,[]
3,Maria Maria,Santana & The Product G & B,[],2000,,,0,[]
4,I Wanna Know,Joe,[],2000,ab0544e2-000b-49f6-9f9e-f7b5480efbf9,d6864f27-532d-4912-af81-d710d58b1f01,296000,[]
5,Everything You Want,Vertical Horizon,[],2000,0e10830b-428c-3c89-a5d7-24b724f56be2,e25216bf-b0ac-4bd3-bc5a-1f82a7d0274f,254000,[]
6,Say My Name,Destiny's Child,[],2000,,,273000,"['rnb', 'pop']"
7,I Knew I Loved You,Savage Garden,[],2000,,a871fd87-50f7-4032-b06d-da56779edcce,250000,[]
8,Amazed,Lonestar,[],2000,,407592bd-6b6e-4803-80fd-f17e59446734,241000,[]
9,Bent,Matchbox Twenty,[],2000,016627ff-15e1-3ac1-9d84-c882d6e1218d,75af9d25-cf32-49c0-9192-60bd8e9784e6,308000,[]
10,He Wasn't Man Enough,Toni Braxton,[],2000,7f34d397-1e6f-31ad-93d4-8a6c5a91f8b3,3c8a8696-e176-4c46-a2d3-48b6b1525c7f,262000,[]
11,Higher,Creed,[],2000,3eba39ec-4faa-485b-9a52-7be531bec42f,4b1a830b-0a1f-42e5-b8d5-1d6743912e99,282000,"['rock', 'alternative']"
12,Try Again,Aaliyah,[],2000,50f200ed-70f2-4459-a88f-c72cf4a4900f,bc85da58-52d9-457d-ae8d-5d8d4ec870a9,284000,[]
13,"Jumpin', Jumpin'",Destiny's Child,[],2000,0451c277-9cf3-3326-981a-6d72bc16047e,,227000,"['rnb', 'pop', 'dance']"
14,Thong Song,Sisqó,[],2000,26254a70-b834-4e59-8cde-b119b1116f81,25e0497c-faa4-4765-b232-baa20e5e35a7,245000,[]
15,Kryptonite,3 Doors Down,[],2000,,2386cd66-e923-4e8e-bf14-2eebe2e9b973,234000,"['rock', 'alternative']"
16,There You Go,Pink,[],2000,,9c6158ed-53d0-4094-b424-b641c5cab36d,205000,[]
17,Music,Madonna,[],2000,3ca2af59-870c-441c-a4e0-8fbb8542b956,79239441-bfd5-4981-a70c-55c3f15c1287,225000,[]
18,Doesn't Really Matter,Janet Jackson,[],2000,ce161900-c720-434d-a518-05e8b66d3de5,6be2828f-6c0d-4059-99d4-fa18acf1a296,257000,[]
19,What a Girl Wants,Christina Aguilera,[],2000,701ad166-9bbe-3dd2-bb38-a3e802d9cdf9,b202beb7-99bd-47e7-8b72-195c8d72ebdd,200000,[]
20,Back at One,Brian McKnight,[],2000,ad661087-f3cc-4176-bbf8-cddcabba7cf6,bf75ef89-7b4c-4771-ac43-4d5c10617190,201000,[]
21,Bye Bye Bye,NSYNC,[],2000,,603ba565-3967-4be1-931e-9cb945394e86,200000,"['pop', 'dance']"
22,You Sang to Me,Marc Anthony,[],2000,73da317a-c95e-48f6-a65f-75521fbea81e,25607613-aceb-445a-8519-83a2ee0f8402,325000,[]
23,I Need to Know,Marc Anthony,[],2000,88b34841-0924-3b36-8637-9607c1ab9396,25607613-aceb-445a-8519-83a2ee0f8402,228000,[]
24,Get It On Tonite,Montell Jordan,[],2000,40175743-5d6b-409c-ae8c-36d802f58450,cc1f4763-a306-4ae7-8ba7-331872199f9e,205000,[]
25,Incomplete,Sisqó,[],2000,3372b6dd-4daf-4112-aa6f-015fc2ad907e,25e0497c-faa4-4765-b232-baa20e5e35a7,274000,[]
26,I Try,Macy Gray,[],2000,,48772747-4cda-4ba8-b470-cfd5a32e05f7,237000,[]
