rank,song_title,artist,year
1,Party Rock Anthem,LMFAO feat. Lauren Bennett and GoonRock,2011
2,Somebody That I Used to Know,Gotye feat. Kimbra,2011
3,Moves Like Jagger,Maroon 5 feat. Christina Aguilera,2011
4,Someone Like You,Adele,2011
5,Rolling in the Deep,Adele,2011
6,Sexy and I Know It,LMFAO,2011
7,Give Me Everything,"Pitbull feat. Ne-Yo, Afrojack \& Nayer",2011
8,Born This Way,Lady Gaga,2011
9,Price Tag,Jessie J feat. B.o.B,2011
10,On the Floor,Jennifer Lopez feat. Pitbull,2011
11,S\&M,Rihanna,2011
12,We Found Love,Rihanna feat. Calvin Harris,2011
13,Sweat,Snoop Dogg vs. David Guetta,2011
14,The Lazy Song,Bruno Mars,2011
15,E.T.,Katy Perry,2011
16,Jar of Hearts,Christina Perri,2011
17,Super Bass,Nicki Minaj,2011
18,Titanium,David Guetta feat. Sia,2011
19,Dirty Talk,Wynter Gordon,2011
20,Good Feeling,Flo Rida,2011
21,Grenade,Bruno Mars,2011
22,Just Can't Get Enough,Black Eyed Peas,2011
23,Pumped Up Kicks,Foster the People,2011
24,The A Team,Ed Sheeran,2011
25,It Girl,Jason Derulo,2011
26,Happiness,Alexis Jordan,2011
27,Good Night,Reece Mastin,2011
28,Firework,Katy Perry,2011
29,Stereo Hearts,Gym Class Heroes feat. Adam Levine,2011
30,Yeah 3x,Chris Brown,2011
31,Last Friday Night (T.G.I.F.),Katy Perry,2011
32,Marry You,Bruno Mars,2011
33,Tonight (I'm Lovin' You),Enrique Iglesias feat. Ludacris \& DJ Frank E,2011
34,Don't Wanna Go Home,Jason Derulo,2011
35,Champagne Showers,LMFAO feat. Natalia Kills,2011
36,You Make Me Feel...,Cobra Starship feat. Sabi,2011
37,Coming Home,Diddy-Dirty Money feat. Skylar Grey,2011
38,Bounce,Calvin Harris feat. Kelis,2011
39,The Edge of Glory,Lady Gaga,2011
40,We Run the Night,Havana Brown,2011
41,Cheers (Drink to That),Rihanna,2011
42,Without You,David Guetta feat. Usher,2011
43,Feel So Close,Calvin Harris,2011
44,Tonight Tonight,Hot Chelle Rae,2011
45,Own This Club,Marvin Priest,2011
46,Mr. Know it All,Kelly Clarkson,2011
47,Who's That Girl,Guy Sebastian feat. Eve,2011
48,What the Hell,Avril Lavigne,2011
49,Set Fire to the Rain,Adele,2011
50,Beautiful People,Chris Brown feat. Benny Benassi,2011
51,The Show Goes On,Lupe Fiasco,2011
52,Inescapable,Jessica Mauboy,2011
53,Domino,Jessie J,2011
54,Paradise,Coldplay,2011
55,Where Them Girls At,David Guetta feat. Flo Rida and Nicki Minaj,2011
56,Hangover,Taio Cruz feat. Flo Rida,2011
57,More,Usher,2011
58,Who's That Chick?,David Guetta feat. Rihanna,2011
59,Dedication to My Ex (Miss That),Lloyd feat. Andre 3000 \& Lil Wayne,2011
60,Jet Lag,Simple Plan feat. Natasha Bedingfield,2011
61,California King Bed,Rihanna,2011
62,Rain Over Me,Pitbull feat. Marc Anthony,2011
63,I Need a Doctor,Dr. Dre feat. Eminem \& Skylar Grey,2011
64,I Need a Dollar,Aloe Blacc,2011
65,Just the Way You Are,Bruno Mars,2011
66,"Turn Around (5, 4, 3, 2, 1)",Flo Rida,2011
67,I Just Had Sex,The Lonely Island feat. Akon,2011
68,Lighters,Bad Meets Evil feat. Bruno Mars,2011
69,What Makes You Beautiful,One Direction,2011
70,The Time (Dirty Bit),Black Eyed Peas,2011
71,Till the World Ends,Britney Spears,2011
72,Nobody's Perfect,Jessie J,2011
73,Hello,Martin Solveig \& Dragonette,2011
74,Only Girl (In the World),Rihanna,2011
75,"Young, Wild \& Free",Snoop Dogg \& Wiz Khalifa feat. Bruno Mars,2011
76,Don't Worry Be Happy,Guy Sebastian,2011
77,Blow,Kesha,2011
78,Right There,Nicole Scherzinger feat. 50 Cent,2011
79,Cinema,Benny Benassi feat. Gary Go,2011
80,Don't Hold Your Breath,Nicole Scherzinger,2011
81,Dynamite,Taio Cruz,2011
82,Changed the Way You Kiss Me,Example,2011
83,Who Dat Girl,Flo Rida feat. Akon,2011
84,Jumpstart,These Kids Wear Crowns,2011
85,Friday to Sunday,Justice Crew,2011
86,Raise Your Glass,Pink,2011
87,It Will Rain,Bruno Mars,2011
88,Loud,Stan Walker,2011
89,Little Bad Girl,David Guetta feat. Taio Cruz \& Ludacris,2011
90,Best Thing I Never Had,Beyonce,2011
91,Breathing,Jason Derulo,2011
92,Last Night,Ian Carey feat. Bobby Anthony \& Snoop Dogg,2011
93,Run the World (Girls),Beyonce,2011
94,Mr. Saxobeat,Alexandra Stan,2011
95,From the Music,The Potbelleez,2011
96,Take Over Control,Afrojack feat. Eva Simons,2011
97,Hold it Against Me,Britney Spears,2011
98,Love on Top,Beyonce,2011
99,All of the Lights,Kanye West,2011
100,We R Who We R,Kesha,2011
