rank,song_title,artist,year
1,Closer,The Chainsmokers feat. Halsey,2016
2,One Dance,Drake feat. Wizkid \& Kyla,2016
3,7 Years,Lukas Graham,2016
4,Never Be Like You,Flume feat. Kai,2016
5,Don't Let Me Down,The Chainsmokers feat. Daya,2016
6,This is What You Came For,Calvin Harris feat. Rihanna,2016
7,Can't Stop the Feeling!,Justin Timberlake,2016
8,Cheap Thrills,Sia,2016
9,Stressed Out,Twenty One Pilots,2016
10,Love Yourself,Justin Bieber,2016
11,Cold Water,Major Lazer feat. Justin Bieber \& Mo,2016
12,Fast Car,Jonas Blue feat. Dakota,2016
13,I Hate U I Love U,Gnash feat. Olivia O'Brien,2016
14,One Call Away,Charlie Puth,2016
15,Work From Home,Fifth Harmony feat. Ty Dolla Sign,2016
16,I Took a Pill in Ibiza,Mike Posner,2016
17,Faded,Alan Walker,2016
18,1955,Hilltop Hoods feat. Montaigne \& Tom Thum,2016
19,Let Me Love You,DJ Snake feat. Justin Bieber,2016
20,Say It,Flume feat. Tove Lo,2016
21,Dancing on My Own,Calum Scott,2016
22,Say You Won't Let Go,James Arthur,2016
23,Starboy,The Weeknd feat. Daft Punk,2016
24,Papercuts,Illy feat. Vera Blue,2016
25,Just Like Fire,Pink,2016
26,Gold,Kiiara,2016
27,Heathens,Twenty One Pilots,2016
28,My House,Flo Rida,2016
29,Treat You Better,Shawn Mendes,2016
30,Lush Life,Zara Larsson,2016
31,Sorry,Justin Bieber,2016
32,Pillowtalk,Zayn,2016
33,Roses,The Chainsmokers feat. Rozes,2016
34,Too Good,Drake feat. Rihanna,2016
35,Cake By the Ocean {Re-Entry},DNCE,2016
36,Starving,Hailee Steinfeld \& Grey feat. Zedd,2016
37,Side to Side,Ariana Grande feat. Nicki Minaj,2016
38,Panda,Desiigner,2016
39,All My Friends,Snakehips feat. Tinashe \& Chance the Rapper,2016
40,Work,Rihanna feat. Drake,2016
41,Perfect Strangers,Jonas Blue feat. JP Cooper,2016
42,Hello,Adele,2016
43,Stitches,Shawn Mendes,2016
44,The Sound of Silence,Disturbed,2016
45,Send My Love (To Your New Lover) {Re-Entry},Adele,2016
46,The Greatest,Sia feat. Kendrick Lamar,2016
47,Ex's \& Oh's,Elle King,2016
48,Alarm,Anne-Marie,2016
49,Into You,Ariana Grande,2016
50,Hands to Myself,Selena Gomez,2016
51,Me Too,Meghan Trainor,2016
52,Be the One,Dua Lipa,2016
53,We Don't Talk Anymore,Charlie Puth feat. Selena Gomez,2016
54,Sucker for Pain,"Lil Wayne, Wiz Khalifa \& Imagine Dragons with Logic, Ty Dolla Sign \& X Ambassadors",2016
55,Hide Away,Daya,2016
56,Middle,DJ Snake feat. Bipolar Sunshine,2016
57,In My Blood,The Veronicas,2016
58,No Money,Galantis,2016
59,24K Magic,Bruno Mars,2016
60,Secret Love Song,Little Mix feat. Jason Derulo,2016
61,This Girl,Kungs vs. Cookin' on 3 Burners,2016
62,The Ocean,Mike Perry feat. Shy Martin,2016
63,No,Meghan Trainor,2016
64,Final Song,Mo,2016
65,In the Name of Love,Martin Garrix \& Bebe Rexha,2016
66,Rockabye,Clean Bandit feat. Sean Paul \& Anne-Marie,2016
67,I Love You Always Forever,Betty Who,2016
68,What Do You Mean?,Justin Bieber,2016
69,Home,Topic feat. Nico Santos,2016
70,Mercy,Shawn Mendes,2016
71,Ride,Twenty One Pilots,2016
72,"Me, Myself \& I",G-Eazy \& Bebe Rexha,2016
73,Hair,Little Mix feat. Sean Paul,2016
74,My Way,Calvin Harris,2016
75,Shout Out to My Ex,Little Mix,2016
76,Ocean Drive,Duke Dumont,2016
77,Dangerous Woman,Ariana Grande,2016
78,Don't Wanna Know,Maroon 5 feat. Kendrick Lamar,2016
79,Hymn for the Weekend,Coldplay,2016
80,Crash,Usher,2016
81,Sexual,Neiked feat. Dyo {Ms D},2016
82,The Fighter,Keith Urban feat. Carrie Underwood,2016
83,Don't Be So Shy (Filatov \& Karas Remix),Imany,2016
84,Sex,Cheat Codes \& Kris Kross Amsterdam,2016
85,Keeping Score,LDRU feat. Paige IV,2016
86,Lean On,Major Lazer \& DJ Snake feat. Mo,2016
87,Never Forget You,Zara Larsson \& MNEK,2016
88,Dance Off,Macklemore \& Ryan Lewis feat. Idris Elba \& Anderson Paak,2016
89,All We Know,The Chainsmokers feat. Phoebe Ryan,2016
90,Girls Like,Tinie Tempah feat. Zara Larsson,2016
91,Youth,Troye Sivan,2016
92,Black Beatles,Rae Sremmurd feat. Gucci Mane,2016
93,Stranger,Peking Duk feat. Elliphant,2016
94,Uptown Funk,Mark Ronson feat. Bruno Mars,2016
95,Ain't My Fault,Zara Larsson,2016
96,Needed Me,Rihanna,2016
97,The Mack,Nevada feat. Mark Morrison and Fetty Wap,2016
98,Wild Things,Alessia Cara,2016
99,Catch 22,Illy feat. Anne-Marie,2016
100,Downtown,"Macklemore \& Ryan Lewis feat. Eric Nally, Melle Mel, Kool Moe Dee \& Grandmaster Caz",2016
