rank,song_title,artist,year
1,Youngblood,5 Seconds of Summer,2018
2,God's Plan,Drake,2018
3,Perfect,Ed Sheeran,2018
4,Be Alright,Dean Lewis,2018
5,Meant to Be,Bebe Rexha \& Florida Georgia Line,2018
6,I Fall Apart,Post Malone,2018
7,Psycho,Post Malone feat. Ty Dolla Sign,2018
8,Girls Like You,Maroon 5 feat. Cardi B,2018
9,Shotgun,George Ezra,2018
10,Eastside,"Benny Blanco, Halsey \& Khalid",2018
11,Better Now,Post Malone,2018
12,Rockstar,Post Malone feat. 21 Savage,2018
13,Love Lies,Khalid \& Normani,2018
14,These Days,"Rudimental feat. Jess Glynne, Macklemore \& Dan Caplen",2018
15,The Middle,"Zedd, Maren Morris \& Grey",2018
16,In My Feelings,Drake,2018
17,All the Stars,Kendrick Lamar \& SZA,2018
18,IDGAF,Dua Lipa,2018
19,River,Eminem feat. Ed Sheeran,2018
20,One Kiss,Calvin Harris \& Dua Lipa,2018
21,Sad!,XXXTentacion,2018
22,Nice for What,Drake,2018
23,Havana,Camila Cabello feat. Young Thug,2018
24,This is Me,Keala Settle \& The Greatest Showman Ensemble,2018
25,Shape of You,Ed Sheeran,2018
26,No Tears Left to Cry,Ariana Grande,2018
27,Friends,Marshmello \& Anne-Marie,2018
28,2002,Anne-Marie,2018
29,Rise,Jonas Blue feat. Jack \& Jack,2018
30,Silence,Marshmello feat. Khalid,2018
31,I Said Hi,Amy Shark,2018
32,High Hopes,Panic! at the Disco,2018
33,Happier,Marshmello feat. Bastille,2018
34,Never Be the Same,Camila Cabello,2018
35,Feel it Still,Portugal. The Man,2018
36,I Like It,"Cardi B, Bad Bunny \& J Balvin",2018
37,Let You Down,NF,2018
38,Lucid Dreams,Juice Wrld,2018
39,Finesse (Remix),Bruno Mars feat. Cardi B,2018
40,Body,Loud Luxury feat. Brando,2018
41,Lovely,Billie Eilish \& Khalid,2018
42,Hurt Somebody,Noah Kahan \& Julia Michaels,2018
43,Go Bang,Pnau,2018
44,Nevermind,Dennis Lloyd,2018
45,Candy Paint,Post Malone,2018
46,Wolves,Selena Gomez \& Marshmello,2018
47,Mine,Bazzi,2018
48,Sicko Mode,Travis Scott,2018
49,Humble,Kendrick Lamar,2018
50,Thunder,Imagine Dragons,2018
51,Promises,Calvin Harris \& Sam Smith,2018
52,"Fire {""Reprisal"" EP}",Peking Duk,2018
53,Shallow,Lady Gaga \& Bradley Cooper,2018
54,New Rules,Dua Lipa,2018
55,Young Dumb \& Broke,Khalid,2018
56,Healing Hands,Conrad Sewell,2018
57,Freaky Friday,Lil Dicky feat. Chris Brown,2018
58,Back to You,Selena Gomez,2018
59,Let Me Go,Hailee Steinfeld \& Alesso feat. Florida Georgia Line \& Watt,2018
60,"Thank U, Next",Ariana Grande,2018
61,Call Out My Name,The Weeknd,2018
62,Ocean,Martin Garrix feat. Khalid,2018
63,I Miss You,Clean Bandit feat. Julia Michaels,2018
64,Jackie Chan,Tiesto \& Dzeko feat. Preme \& Post Malone,2018
65,In My Blood,Shawn Mendes,2018
66,Without Me,Halsey,2018
67,Solo,Clean Bandit feat. Demi Lovato,2018
68,Say Something,Justin Timberlake feat. Chris Stapleton,2018
69,Remind Me to Forget,Kygo feat. Miguel,2018
70,Him \& I,G-Eazy \& Halsey,2018
71,Pray for Me,The Weeknd \& Kendrick Lamar,2018
72,I'll Be There,Jess Glynne,2018
73,What Lovers Do,Maroon 5 feat. SZA,2018
74,I Like Me Better,Lauv,2018
75,Happier {Re-Entry},Ed Sheeran,2018
76,Chateau,Angus \& Julia Stone,2018
77,Better,Khalid,2018
78,Born to Be Yours,Kygo \& Imagine Dragons,2018
79,Look Alive,BlocBoy JB feat. Drake,2018
80,You Are the Reason,Calum Scott,2018
81,Too Good at Goodbyes,Sam Smith,2018
82,Rewrite the Stars,Zac Efron \& Zendaya,2018
83,No Brainer,"DJ Khaled feat. Justin Bieber, Chance the Rapper \& Quavo",2018
84,My My My!,Troye Sivan,2018
85,Sunflower,Post Malone \& Swae Lee,2018
86,Just Friends,Hayden James feat. Boy Matthews,2018
87,For You,Liam Payne \& Rita Ora,2018
88,This is America,Childish Gambino,2018
89,I Love It,Kanye West \& Lil Pump,2018
90,Castle on the Hill,Ed Sheeran,2018
91,God is a Woman,Ariana Grande,2018
92,I Wanna Know,NOTD feat. Bea Miller,2018
93,In My Mind,Dynoro \& Gigi D'Agostino,2018
94,Beautiful,Bazzi feat. Camila Cabello,2018
95,Coming Home,Sheppard,2018
96,OTW,Khalid feat. 6lack \& Ty Dolla Sign,2018
97,Praise the Lord (Da Shine),ASAP Rocky feat. Skepta,2018
98,We're Going Home,Vance Joy,2018
99,Believer,Imagine Dragons,2018
100,Congratulations,Post Malone feat. Quavo,2018
