rank,song_title,artist,year
1,Love the Way You Lie,Eminem feat. Rihanna,2010
2,OMG,Usher feat. Will.i.am,2010
3,Dynamite,Taio Cruz,2010
4,"Hey, Soul Sister",Train,2010
5,California Gurls,Katy Perry feat. Snoop Dogg,2010
6,Fireflies,Owl City,2010
7,Only Girl (In the World),Rihanna,2010
8,Just the Way You Are,Bruno Mars,2010
9,Teenage Dream,Katy Perry,2010
10,DJ Got Us Fallin' in Love,Usher feat. Pitbull,2010
11,Airplanes,B.o.B feat. Hayley Williams,2010
12,Tik Tok,Kesha,2010
13,In My Head,Jason Derulo,2010
14,I Like It,Enrique Iglesias feat. Pitbull,2010
15,Replay,Iyaz,2010
16,Just a Dream,Nelly,2010
17,Raise Your Glass,Pink,2010
18,Club Can't Handle Me,Flo Rida feat. David Guetta,2010
19,Empire State of Mind,Jay-Z \& Alicia Keys,2010
20,Telephone,Lady Gaga feat. Beyonce,2010
21,Cooler Than Me,Mike Posner,2010
22,Not Afraid,Eminem,2010
23,F**k You!,Cee Lo Green,2010
24,Firework,Katy Perry,2010
25,We R Who We R,Kesha,2010
26,Bad Romance,Lady Gaga,2010
27,Like a G6,Far East Movement feat. The Cataracs \& Dev,2010
28,The Time (Dirty Bit),Black Eyed Peas,2010
29,Memories,David Guetta feat. Kid Cudi,2010
30,Billionaire,Travie McCoy feat. Bruno Mars,2010
31,Break Your Heart,Taio Cruz,2010
32,Grenade,Bruno Mars,2010
33,Rude Boy,Rihanna,2010
34,We No Speak Americano,Yolanda Be Cool \& DCup,2010
35,Baby,Justin Bieber feat. Ludacris,2010
36,If I Had You,Adam Lambert,2010
37,I Like That,Richard Vission \& Static Revenger starring Luciana,2010
38,Ridin' Solo,Jason Derulo,2010
39,Gettin' Over You,David Guetta \& Chris Willis feat. Fergie \& LMFAO,2010
40,Whataya Want From Me,Adam Lambert,2010
41,Blah Blah Blah,Kesha feat. 3OH!3,2010
42,Who's That Girl,Guy Sebastian feat. Eve,2010
43,Whatcha Say,Jason Derulo,2010
44,Magic,B.o.B feat. Rivers Cuomo,2010
45,Take it Off,Kesha,2010
46,Little Lion Man,Mumford \& Sons,2010
47,Plans,Birds of Tokyo,2010
48,Just Say So,Brian McFadden feat. Kevin Rudolf,2010
49,Nothin' on You,B.o.B feat. Bruno Mars,2010
50,Alejandro,Lady Gaga,2010
51,Your Love is My Drug,Kesha,2010
52,Heartbeat,Enrique Iglesias feat. Nicole Scherzinger,2010
53,I Gotta Feeling,Black Eyed Peas,2010
54,Smile,Uncle Kracker,2010
55,Yeah 3x,Chris Brown,2010
56,Sweet Disposition,The Temper Trap,2010
57,Barbra Streisand,Duck Sauce,2010
58,If We Ever Meet Again,Timbaland feat. Katy Perry,2010
59,3 Words,Cheryl Cole feat. Will.i.am,2010
60,Black Box,Stan Walker,2010
61,Hey Baby (Drop it to the Floor),Pitbull feat. T-Pain,2010
62,Do You Remember,Jay Sean feat. Sean Paul \& Lil Jon,2010
63,You've Got the Love,Florence + The Machine,2010
64,Haven't Met You Yet,Michael Buble,2010
65,I Made It (Cash Money Heroes),"Kevin Rudolf feat. Birdman, Jay Sean \& Lil Wayne",2010
66,Down,Jay Sean feat. Lil Wayne,2010
67,Freefallin,Zoe Badwi,2010
68,Rock That Body,Black Eyed Peas,2010
69,Big Jet Plane,Angus \& Julia Stone,2010
70,Opposite of Adults,Chiddy Bang,2010
71,For the First Time,The Script,2010
72,Today Was a Fairytale,Taylor Swift,2010
73,Saturday Night,Jessica Mauboy feat. Ludacris,2010
74,Eenie Meenie,Sean Kingston \& Justin Bieber,2010
75,The Only Exception,Paramore,2010
76,My First Kiss,3OH!3 feat. Kesha,2010
77,Tik Tok (Parody),The Midnight Beast,2010
78,Planets,Short Stack,2010
79,Dance the Way I Feel,Ou Est Le Swimming Pool,2010
80,Mr. Mysterious,Vanessa Amorosi feat. Seany B,2010
81,Imma Be,Black Eyed Peas,2010
82,Like it's Her Birthday,Good Charlotte,2010
83,Starstrukk,3OH!3 feat. Katy Perry,2010
84,Sexy Bitch,David Guetta feat. Akon,2010
85,Closer to the Edge,Thirty Seconds to Mars,2010
86,Mine,Taylor Swift,2010
87,Rock It,Little Red,2010
88,Stay the Night,James Blunt,2010
89,Undisclosed Desires,Muse,2010
90,Art of Love,Guy Sebastian feat. Jordin Sparks,2010
91,Who's That Chick?,David Guetta feat. Rihanna,2010
92,Lying,Amy Meredith,2010
93,F**kin' Perfect,Pink,2010
94,One Time,Justin Bieber,2010
95,Party in the U.S.A.,Miley Cyrus,2010
96,Hotel Room Service,Pitbull,2010
97,Take Your Shirt Off,T-Pain,2010
98,Meet Me Halfway,Black Eyed Peas,2010
99,Shut it Down,Pitbull feat. Akon,2010
100,This Ain't a Love Song,Scouting for Girls,2010
