rank,song_title,artist,year
1,Low,Flo Rida feat. T-Pain,2008
2,So What,Pink,2008
3,Sweet About Me,Gabriella Cilmi,2008
4,Bleeding Love,Leona Lewis,2008
5,Sex on Fire,Kings of Leon,2008
6,I Kissed a Girl,Katy Perry,2008
7,Just Dance,Lady Gaga feat. Colby O'Donis,2008
8,No Air,Jordin Sparks with Chris Brown,2008
9,I'm Yours,Jason Mraz,2008
10,All Summer Long,Kid Rock,2008
11,Shake It,Metro Station,2008
12,Don't Stop the Music,Rihanna,2008
13,When I Grow Up,The Pussycat Dolls,2008
14,Poker Face,Lady Gaga,2008
15,4 Minutes,Madonna feat. Justin Timberlake and Timbaland,2008
16,Hot N Cold,Katy Perry,2008
17,Dream Catch Me,Newton Faulkner,2008
18,Pictures of You,The Last Goodnight,2008
19,Black and Gold,Sam Sparro,2008
20,Forever,Chris Brown,2008
21,Untouched,The Veronicas,2008
22,Disturbia,Rihanna,2008
23,Crank That (Soulja Boy),Soulja Boy Tell 'Em,2008
24,Bubbly,Colbie Caillat,2008
25,Take a Bow,Rihanna,2008
26,See You Again,Miley Cyrus,2008
27,American Boy,Estelle feat. Kanye West,2008
28,Closer,Ne-Yo,2008
29,Running Back,Jessica Mauboy feat. Flo Rida,2008
30,Use Somebody,Kings of Leon,2008
31,With You,Chris Brown,2008
32,Apologize,Timbaland pres. OneRepublic,2008
33,Viva La Vida,Coldplay,2008
34,Electric Feel,MGMT,2008
35,Perfect,Vanessa Amorosi,2008
36,Tattoo,Jordin Sparks,2008
37,Love Song,Sara Bareilles,2008
38,Piece of Me,Britney Spears,2008
39,Work,Kelly Rowland,2008
40,Womanizer,Britney Spears,2008
41,My People,The Presets,2008
42,Don't Hold Back,The Potbelleez,2008
43,You,Wes Carr,2008
44,If I Were a Boy,Beyonce,2008
45,Live Your Life,T.I. feat. Rihanna,2008
46,This Heart Attack,Faker,2008
47,No One,Alicia Keys,2008
48,That's Not My Name,The Ting Tings,2008
49,Kiss Kiss,Chris Brown feat. T-Pain,2008
50,7 Things,Miley Cyrus,2008
51,Love in This Club,Usher feat. Young Jeezy,2008
52,White Noise,The Living End,2008
53,Take Me on the Floor,The Veronicas,2008
54,Sober,Pink,2008
55,Better in Time,Leona Lewis,2008
56,Like Only a Woman Can,Brian McFadden,2008
57,Cry for You,September,2008
58,Paralyzer,Finger Eleven,2008
59,Stop and Stare,OneRepublic,2008
60,This Love,The Veronicas,2008
61,I Hate This Part,The Pussycat Dolls,2008
62,Elevator,Flo Rida feat. Timbaland,2008
63,Whatever You Like,T.I.,2008
64,Walking on a Dream,Empire of the Sun,2008
65,Wanna Be Startin' Somethin' 2008,Michael Jackson with Akon,2008
66,Dance Wiv Me,Dizzee Rascal feat. Calvin Harris and Chrome,2008
67,This Boy's in Love,The Presets,2008
68,Violet Hill,Coldplay,2008
69,If I Never See Your Face Again,Maroon 5 feat. Rihanna,2008
70,I Don't Do Surprises,Axle Whitehead,2008
71,I Never Liked You,Rogue Traders,2008
72,Mercy,Duffy,2008
73,Alive,Natalie Bassingthwaighte,2008
74,Single Ladies (Put a Ring on It),Beyonce,2008
75,Won't Go Home Without You,Maroon 5,2008
76,Naughty Girl,Mr G {Chris Lilley},2008
77,Are You With Me,The Potbelleez,2008
78,One Step at a Time,Jordin Sparks,2008
79,Into the Night,Santana feat. Chad Kroeger,2008
80,Talk Like That,The Presets,2008
81,Get Shaky,The Ian Carey Project,2008
82,I Don't Care,Fall Out Boy,2008
83,The Way I Are,Timbaland feat. Keri Hilson and D.O.E.,2008
84,In the Ayer,Flo Rida feat. Will.i.am,2008
85,How Far We've Come,Matchbox Twenty,2008
86,Big Girl (You Are Beautiful),Mika,2008
87,Kansas City,Sneaky Sound System,2008
88,Shadow of the Day,Linkin Park,2008
89,Fall for You,Secondhand Serenade,2008
90,Let it Rock,Kevin Rudolf feat. Lil Wayne,2008
91,Love Lockdown,Kanye West,2008
92,Party People,Nelly feat. Fergie,2008
93,When I'm Gone,Simple Plan,2008
94,Beat It,Fall Out Boy feat. John Mayer,2008
95,Gotta Be Somebody,Nickelback,2008
96,Circus,Britney Spears,2008
97,Happy Ending,Mika,2008
98,Kids,MGMT,2008
99,Clumsy,Fergie,2008
100,It's Not My Time,3 Doors Down,2008
