rank,song_title,artist,year
1,Flowers,Miley Cyrus,2023
2,Last Night,Morgan Wallen,2023
3,Kill Bill,SZA,2023
4,Anti-Hero,Taylor Swift,2023
5,Boy's a Liar,PinkPantheress,2023
6,Die for You {Released in 2017},The Weeknd,2023
7,Something in the Orange,Zach Bryan,2023
8,Cruel Summer {Re-Entry},Taylor Swift,2023
9,As it Was,Harry Styles,2023
10,Escapism,Raye feat. 070 Shake,2023
11,I Ain't Worried,OneRepublic,2023
12,Calm Down,Rema \& Selena Gomez,2023
13,Fast Car,Luke Combs,2023
14,Paint the Town Red,Doja Cat,2023
15,Sprinter,Dave \& Central Cee,2023
16,Creepin',"Metro Boomin, The Weeknd \& 21 Savage",2023
17,Until I Found You,Stephen Sanchez,2023
18,Heat Waves,Glass Animals,2023
19,Daylight,David Kushner,2023
20,Unholy,Sam Smith \& Kim Petras,2023
21,Sure Thing {Released in 2011},Miguel,2023
22,The Kind of Love We Make,Luke Combs,2023
23,I'm Good (Blue),David Guetta \& Bebe Rexha,2023
24,Shivers,Ed Sheeran,2023
25,10:35,Tiesto feat. Tate McRae,2023
26,Vampire,Olivia Rodrigo,2023
27,Dance the Night,Dua Lipa,2023
28,Cold Heart (Pnau Remix),Elton John \& Dua Lipa,2023
29,Mr. Brightside {Re-Entry},The Killers,2023
30,Someone You Loved,Lewis Capaldi,2023
31,Players,Coi Leray,2023
32,Save Your Tears,The Weeknd,2023
33,Dreams {Re-Entry},Fleetwood Mac,2023
34,Cupid,Fifty Fifty,2023
35,Another Love {Released in 2012},Tom Odell,2023
36,Stay,The Kid Laroi \& Justin Bieber,2023
37,Bad Habits,Ed Sheeran,2023
38,Made You Look,Meghan Trainor,2023
39,Karma {Re-Entry},Taylor Swift,2023
40,Chemical,Post Malone,2023
41,You Proof {Re-Entry},Morgan Wallen,2023
42,Sunflower,Post Malone \& Swae Lee,2023
43,Snooze,SZA,2023
44,No Role Modelz {Released in 2015},J. Cole,2023
45,Popular,"The Weeknd, Playboi Carti \& Madonna",2023
46,Miss You,Oliver Tree \& Robin Schulz,2023
47,Levitating,Dua Lipa feat. DaBaby,2023
48,Miracle,Calvin Harris \& Ellie Goulding,2023
49,Greedy,Tate McRae,2023
50,Sunroof,Nicky Youre \& Dazy,2023
51,When it Rains it Pours {Released in 2017},Luke Combs,2023
52,Riptide {Re-Entry},Vance Joy,2023
53,Bad Habit,Steve Lacy,2023
54,Green Green Grass,George Ezra,2023
55,Blinding Lights,The Weeknd,2023
56,Iris {Re-Entry},Goo Goo Dolls,2023
57,Golden Hour,Jvke,2023
58,Starboy {Re-Entry},The Weeknd feat. Daft Punk,2023
59,Blank Space {Re-Entry},Taylor Swift,2023
60,People,Libianca,2023
61,Prada,"Casso, Raye \& D-Block Europe",2023
62,What Was I Made For?,Billie Eilish,2023
63,Perfect,Ed Sheeran,2023
64,The Color Violet,Tory Lanez,2023
65,B.O.T.A. (Baddest of Them All),Eliza Rose \& Interplanetary Criminal,2023
66,Beautiful Crazy {Re-Entry},Luke Combs,2023
67,Can't Hold Us {Re-Entry},Macklemore \& Ryan Lewis feat. Ray Dalton,2023
68,How Do I Say Goodbye,Dean Lewis,2023
69,Party in the U.S.A. {Re-Entry},Miley Cyrus,2023
70,Everlong {Re-Entry},Foo Fighters,2023
71,Viva La Vida {Re-Entry},Coldplay,2023
72,I Like You (A Happier Song),Post Malone feat. Doja Cat,2023
73,Eyes Closed,Ed Sheeran,2023
74,Cuff It,Beyonce,2023
75,Sweater Weather {Released in 2012},The Neighbourhood,2023
76,Watermelon Sugar,Harry Styles,2023
77,Fukumean,Gunna,2023
78,Let Go,Central Cee,2023
79,I Remember Everything,Zach Bryan feat. Kacey Musgraves,2023
80,Barbie World,Nicki Minaj \& Ice Spice with Aqua,2023
81,Shake it Off {Re-Entry},Taylor Swift,2023
82,Rich Flex,Drake \& 21 Savage,2023
83,Under the Influence {Released in 2019},Chris Brown,2023
84,Counting Stars {Re-Entry},OneRepublic,2023
85,Take Me to Church {Re-Entry},Hozier,2023
86,Sex on Fire {Re-Entry},Kings of Leon,2023
87,Circles,Post Malone,2023
88,Lavender Haze,Taylor Swift,2023
89,Money Trees {Re-Entry},Kendrick Lamar feat. Jay Rock,2023
90,Lost {Re-Entry},Frank Ocean,2023
91,Without Me {Re-Entry},Eminem,2023
92,Ceilings,Lizzy McAlpine,2023
93,Strangers,Kenya Grace,2023
94,Shape of You,Ed Sheeran,2023
95,Jimmy Cooks,Drake feat. 21 Savage,2023
96,Go Your Own Way {Re-Entry},Fleetwood Mac,2023
97,Wasted on You,Morgan Wallen,2023
98,About Damn Time,Lizzo,2023
99,Mockingbird {Re-Entry},Eminem,2023
100,Summertime Sadness (Remix) {Re-Entry},Lana Del Rey vs. Cedric Gervais,2023
