rank,song_title,artist,year
1,Roar,Katy Perry,2013
2,Blurred Lines,Robin Thicke feat. T.I. \& Pharrell,2013
3,Let Her Go {Re-Entry},Passenger,2013
4,Wake Me Up,Avicii,2013
5,"Royals {""The Love Club"" EP}",Lorde,2013
6,"The Love Club {""The Love Club"" EP}",Lorde,2013
7,Just Give Me a Reason,Pink feat. Nate Ruess,2013
8,Get Lucky,Daft Punk feat. Pharrell Williams,2013
9,Counting Stars,OneRepublic,2013
10,Can't Hold Us,Macklemore \& Ryan Lewis feat. Ray Dalton,2013
11,Impossible,James Arthur,2013
12,Stay,Rihanna feat. Mikky Ekko,2013
13,Riptide,Vance Joy,2013
14,Talk Dirty,Jason Derulo feat. 2 Chainz,2013
15,Same Love,Macklemore \& Ryan Lewis feat. Mary Lambert,2013
16,Pompeii,Bastille,2013
17,Thrift Shop,Macklemore \& Ryan Lewis feat. Wanz,2013
18,When I Was Your Man,Bruno Mars,2013
19,Beneath Your Beautiful,Labrinth feat. Emeli Sande,2013
20,Thank You,MKTO,2013
21,Radioactive,Imagine Dragons,2013
22,Ho Hey,The Lumineers,2013
23,Wrecking Ball,Miley Cyrus,2013
24,Let's Get Ridiculous,Redfoo,2013
25,The Monster,Eminem feat. Rihanna,2013
26,Lanterns,Birds of Tokyo,2013
27,Summertime Sadness (Remix),Lana Del Rey vs. Cedric Gervais,2013
28,Scream \& Shout,Will.i.am feat. Britney Spears,2013
29,Hey Brother,Avicii,2013
30,Young and Beautiful (Remix),Lana Del Rey vs. Cedric Gervais,2013
31,We Can't Stop,Miley Cyrus,2013
32,Timber,Pitbull feat. Kesha,2013
33,I Need Your Love,Calvin Harris feat. Ellie Goulding,2013
34,Acapella,Karmin,2013
35,Burn,Ellie Goulding,2013
36,Feel This Moment,Pitbull feat. Christina Aguilera,2013
37,I Could Be the One,Avicii vs. Nicky Romero,2013
38,Something I Need,OneRepublic,2013
39,Classic,MKTO,2013
40,Resolution,Matt Corby,2013
41,La La La,Naughty Boy feat. Sam Smith,2013
42,I Love It,Icona Pop feat. Charli XCX,2013
43,Hello,Stafford Brothers feat. Lil Wayne \& Christina Milian,2013
44,On Top of the World,Imagine Dragons,2013
45,Hey Porsche,Nelly,2013
46,Parachute,Timomatic,2013
47,Love Me Again,John Newman,2013
48,Mirrors,Justin Timberlake,2013
49,The Other Side,Jason Derulo,2013
50,All of Me,John Legend,2013
51,Like a Drum,Guy Sebastian,2013
52,Still Into You,Paramore,2013
53,Holdin On,Flume,2013
54,"Little Talks {""Into the Woods"" EP}",Of Monsters and Men,2013
55,One Way or Another (Teenage Kicks),One Direction,2013
56,I Knew You Were Trouble,Taylor Swift,2013
57,Bonfire Heart,James Blunt,2013
58,Clarity,Zedd feat. Foxes,2013
59,Everybody,Justice Crew,2013
60,"Hold On, We're Going Home",Drake feat. Majid Jordan,2013
61,Locked Out of Heaven,Bruno Mars,2013
62,Harlem Shake,Baauer,2013
63,#thatPOWER,Will.i.am feat. Justin Bieber,2013
64,Get Up (Rattle),Bingo Players feat. Far East Movement,2013
65,Dear Darlin',Olly Murs,2013
66,Don't You Worry Child,Swedish House Mafia feat. John Martin,2013
67,You,Nathaniel Willemse,2013
68,Rude,Magic!,2013
69,Diamonds,Rihanna,2013
70,Troublemaker,Olly Murs feat. Flo Rida,2013
71,Everybody Talks,Neon Trees,2013
72,Wild,Jessie J feat. Big Sean,2013
73,Tennis Court,Lorde,2013
74,Borrow My Heart,Taylor Henderson,2013
75,Waiting All Night,Rudimental feat. Ella Eyre,2013
76,Change Your Life,Little Mix,2013
77,Can't Believe It,Flo Rida feat. Pitbull,2013
78,Trumpets,Jason Derulo,2013
79,Love is Easy,McFly,2013
80,True Love,Pink,2013
81,Treasure,Bruno Mars,2013
82,#Beautiful,Mariah Carey feat. Miguel,2013
83,Berzerk,Eminem,2013
84,Warrior,Havana Brown,2013
85,Story of My Life,One Direction,2013
86,This is What it Feels Like,Armin Van Buuren feat. Trevor Guthrie,2013
87,Titanium {Re-Entry},David Guetta feat. Sia,2013
88,"Let Me Down Easy {""Sheppard"" EP}",Sheppard,2013
89,We Own It (Fast \& Furious),2 Chainz feat. Wiz Khalifa,2013
90,Global Concepts,Robert DeLong,2013
91,Gangnam Style,Psy,2013
92,Pop a Bottle (Fill Me Up),Jessica Mauboy,2013
93,Happy,Pharrell Williams,2013
94,Applause,Lady Gaga,2013
95,Next to Me {Re-Entry},Emeli Sande,2013
96,I Will Wait,Mumford \& Sons,2013
97,Fall Down,Will.i.am feat. Miley Cyrus,2013
98,Best Song Ever,One Direction,2013
99,Bom Bom,Sam and The Womp,2013
100,The Fox,Ylvis,2013
101,Marry Me,Jason Derulo,2013
