rank,song_title,artist,featuring_artists,year,track_mbid,artist_mbid,duration,genre,wiki_genre
1,Old Town Road,Lil Nas X,[],2019,4d1bb5a1-14ba-438d-b96d-070704f400f5,0b30341b-b59d-4979-8130-b66c0e475321,113000,[],"['rock music', 'pop music', 'country music', 'Southern hip-hop', 'country rap', 'trap music']"
2,Dance Monkey,Tones and I,[],2019,,663f33f4-8e5f-4773-93ea-493a1135de9a,209000,[],['electropop']
3,Bad Guy,Billie Eilish,[],2019,a0fa346a-4c7c-4a16-b8ea-44af865b5323,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,194000,['pop'],"['pop music', 'trap music']"
4,Sunflower,Post Malone & Swae Lee,[],2019,7e6c84a3-3bba-4822-b82c-c76c1769e61f,,156000,[],[]
5,Someone You Loved,Lewis Capaldi,[],2019,,526aab94-697f-44a9-b630-41d1c0505953,182000,['pop'],['pop music']
6,I Don't Care,Ed Sheeran & Justin Bieber,[],2019,7a5be74f-3c0f-4e50-acdc-7c4a18bb8004,,219000,[],[]
7,Wow,Post Malone,[],2019,3c6ef3fe-b551-4e59-b425-2d3fd05edce4,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,149000,[],"['hip-hop', 'trap music']"
8,Senorita,Shawn Mendes & Camila Cabello,[],2019,39165ec2-776a-4eed-a477-c56f8bcf44b7,,191000,[],[]
9,Shallow,Lady Gaga & Bradley Cooper,[],2019,e8191687-56bf-4e69-860f-a898735ec268,,217000,[],[]
10,7 Rings,Ariana Grande,[],2019,874cdb98-c355-41ea-8312-b4d39a69db9e,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,177000,"['pop', 'rap', 'rnb']","['pop music', 'pop music', 'rhythm and blues', 'contemporary R&B', 'trap music', 'trap music']"
11,3 Nights,Dominic Fike,[],2019,1b1aa9bc-6f5f-43a6-9a0d-363a5173aa50,e337c918-098f-418e-97a2-81dc224b1bf9,177000,['pop'],['pop music']
12,Eastside,Benny Blanco & Halsey & Khalid,[],2019,,,0,[],[]
13,Sucker,Jonas Brothers,[],2019,f677b722-2997-4a63-bafa-b3b0b58e233f,6e019bc6-5c23-4935-94f0-4a896631d846,181000,"['pop', 'rock']",['pop rock']
14,Beautiful People,Ed Sheeran,['Khalid'],2019,,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,197000,[],['pop soul']
15,Sweet But Psycho,Ava Max,[],2019,745cc4a1-b551-44d1-9d47-cc6ef7ad97b9,add5f522-25df-41c4-815e-0ca9f60b83e4,187000,"['pop', 'electronic']",[]
16,Piece of Your Heart,Meduza,['Goodboys'],2019,4d4c5382-361f-4dc9-86e8-e6e0c67b4cad,64614ee1-9add-4f2f-b970-5205b09ae218,152000,[],['deep house']
17,Talk,Khalid,[],2019,5eef0e48-3e15-41e7-b6e4-8a2269766e7a,acc88434-f16e-4aad-83e0-ea0ee6bb6b3d,197000,[],['contemporary R&B']
18,Without Me,Halsey,[],2019,01aeecae-dff0-4a57-a8f1-d3a7acd2763f,3377f3bb-60fc-4403-aea9-7e800612e060,202000,"['pop', 'rnb', 'alternative']","['pop music', 'rhythm and blues', 'contemporary R&B', 'electronic dance music', 'synth-pop', 'electro-R&B']"
19,Dancing With a Stranger,Sam Smith & Normani,[],2019,,,171000,[],[]
20,Circles,Post Malone,[],2019,0025eb0c-9832-4446-b5cd-90f7f5cca285,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,213000,['pop'],['pop rock']
21,Happier,Marshmello,['Bastille'],2019,9cf8f1b6-16aa-46a4-89f4-4b540702e03c,301b45a4-b8b9-410e-8344-4b4eaf96691a,214000,[],['dance-pop']
22,Shotgun,George Ezra,[],2019,81614e2f-298e-4644-aaed-36fe57fb1eb3,2c5e2a98-d9ea-46b5-9618-d9bb4863a920,199000,[],[]
23,One Thing Right,Marshmello & Kane Brown,[],2019,,,181000,[],[]
24,The Git Up,Blanco Brown,[],2019,075aad8b-1197-436d-b474-37b097314247,46b04bfe-70da-428e-9b7d-1f444f3446a4,0,[],['country music']
25,Sicko Mode,Travis Scott,[],2019,448220f6-1c06-4dd2-ab30-537a28b4edb8,e4a51f17-a57b-47b1-b37b-f552d0f8e9e6,312000,['rap'],"['trap music', 'progressive rap']"
26,Bury a Friend,Billie Eilish,[],2019,0219e7c1-7814-4b66-9e70-31bdd87b581f,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,193000,['pop'],['pop music']
27,Be Alright,Dean Lewis,[],2019,d04e680c-4c43-44e5-ab8f-7098e2640254,21e9df94-3c2c-4c15-b069-fefa58bcd650,197000,['pop'],['pop music']
28,Better,Khalid,[],2019,1115e377-e69e-4bd1-b47a-0b03449d833b,acc88434-f16e-4aad-83e0-ea0ee6bb6b3d,229000,"['pop', 'rnb']","['contemporary R&B', 'contemporary R&B']"
29,When the Party's Over,Billie Eilish,[],2019,ba7a88da-f864-4ead-9a63-36f92d10de46,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,196000,['pop'],['pop music']
30,Youngblood,5 Seconds of Summer,[],2019,079cab5d-0ae6-4524-81f9-5235a284ec49,830e5c4e-6b7d-431d-86ab-00c751281dc5,203000,"['rock', 'pop']","['pop music', 'synth-pop']"
31,Truth Hurts,Lizzo,[],2019,02994c16-2f1b-4194-9520-245192f10255,8fb5370b-9568-4b61-9da5-2aa12c9928db,173000,[],"['hip-hop', 'trap music', 'pop music']"
32,Johnny Run Away,Tones and I,[],2019,15c04cf0-40aa-443b-b6c6-50f66189f4cb,663f33f4-8e5f-4773-93ea-493a1135de9a,192000,[],['pop music']
33,Body,Loud Luxury,['Brando'],2019,05e8e97b-3200-418e-b1c2-628e07645020,4c445344-9df2-407e-9bf3-8a5c0b86777e,162000,"['house', 'dance']",[]
34,"Thank U, Next",Ariana Grande,[],2019,94b776eb-8ee9-4e52-9d80-f6d1d85a81f1,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,207000,"['pop', 'rnb']","['pop music', 'pop music', 'pop music']"
35,Goodbyes,Post Malone,['Young Thug'],2019,,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,174000,[],['trap music']
36,Choir,Guy Sebastian,[],2019,415870ae-e257-4439-a664-f26204fb66cd,f116b984-45ae-49d0-9445-efc5a61458a1,171000,[],[]
37,If I Can't Have You,Shawn Mendes,[],2019,,b7d92248-97e3-4450-8057-6fe06738f735,198000,['pop'],['pop rock']
38,Waiting,Kian,[],2019,,b663b67e-c29d-4e0b-85c0-1416336ef1ba,215000,[],[]
39,Never Seen the Rain,Tones and I,[],2019,093c4c34-1a63-4856-8058-de802d97a09d,663f33f4-8e5f-4773-93ea-493a1135de9a,200000,[],['pop music']
40,Woke Up Late,Drax Project,['Hailee Steinfeld'],2019,5062d4d4-26f9-42e3-8649-d1bca78e99c7,88e53b5e-fb4d-45fa-bd80-6c01af8f2c3b,184000,[],['pop music']
41,Nothing Breaks Like a Heart,Mark Ronson,['Miley Cyrus'],2019,fb26c962-3f8e-4e15-a13c-b66045528ce3,c3c82bdc-d9e7-4836-9746-c24ead47ca19,217000,[],['country music']
42,I'm So Tired...,Lauv & Troye Sivan,[],2019,0bbcf5c2-a2ca-435f-944d-f4c767a0432d,,0,[],[]
43,Leave Me Lonely,Hilltop Hoods,[],2019,079722f7-a03f-440a-8dbe-4939316bcebc,16e1fb95-6d1c-45a3-aad8-d3bcd7e06aac,194000,[],['Australian hip-hop']
44,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,[],2019,f434698a-04e9-4768-89af-e7afb483aa94,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,190000,"['pop', 'rnb']",[]
45,7 Minutes,Dean Lewis,[],2019,aab440d7-a3a3-4136-bfde-188dd4207f0c,21e9df94-3c2c-4c15-b069-fefa58bcd650,211000,[],[]
46,Here With Me,Marshmello,['Chvrches'],2019,,301b45a4-b8b9-410e-8344-4b4eaf96691a,157000,[],[]
47,Lovely,Billie Eilish & Khalid,[],2019,1fc545d3-94b6-4a3d-bff3-bb8b861943d6,,200000,[],[]
48,Good as Hell,Lizzo,[],2019,7a57d87b-4df9-4171-ad0d-2f426046ebeb,8fb5370b-9568-4b61-9da5-2aa12c9928db,159000,[],['soul']
49,Ride It,Regard,[],2019,84d7a8d9-e26e-4fae-85b0-e92498be39c8,85f11607-6ed7-4a36-af69-dcadd32ad277,159000,[],"['dance-pop', 'house music']"
50,Don't Call Me Up,Mabel,[],2019,,f6a9828c-7b52-41a1-b38a-426c28603555,178000,[],"['pop music', 'tropical house', 'contemporary R&B']"
51,Memories,Maroon 5,[],2019,,0ab49580-c84f-44d4-875f-d83760ea2cfe,187000,"['pop', 'rock']",[]
52,How Do You Sleep?,Sam Smith,[],2019,6d71479e-4723-49fd-81ff-81927faee857,5a85c140-dcf9-4dd2-b2c8-aff0471549f3,202000,[],['pop music']
53,No Guidance,Chris Brown,['Drake'],2019,151dab39-af97-4df9-b0b5-b7dfa7f9010a,c234fa42-e6a6-443e-937e-2f4b073538a3,260000,[],"['hip-hop', 'rhythm and blues']"
54,South of the Border,Ed Sheeran,"['Camila Cabello', 'Cardi B']",2019,,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,204000,[],"['hip-hop', 'pop music', 'Latin pop', 'contemporary R&B']"
55,Cross Me,Ed Sheeran,"['Chance the Rapper', 'PnB Rock']",2019,,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,206000,[],['pop rap']
56,It's You,Ali Gatie,[],2019,,c5d8019c-fe79-4968-9329-f7af6cdc26f3,212000,[],[]
