rank,song_title,artist,featuring_artists,year,track_mbid,artist_mbid,duration,genre,wiki_genre
1,I Gotta Feeling,Black Eyed Peas,[],2009,2a333386-a28a-499e-bd40-6d83b2af76fc,d5be5333-4171-427e-8e12-732087c6b78e,289000.0,"['pop', 'dance', 'electronic', 'hip hop']",['dance-pop']
2,Sexy Bitch,David Guetta,['Akon'],2009,015c9590-395f-4099-8fee-3d89e7e502f1,302bd7b9-d012-4360-897a-93b00c855680,195000.0,[],['hip house']
3,Love Story,Taylor Swift,[],2009,76cb33ce-eccd-4d28-87e7-2cc05962cc67,20244d07-534f-4eff-b4d4-930878889970,273000.0,"['country', 'pop']","['country pop', 'popular music']"
4,Boom Boom Pow,Black Eyed Peas,[],2009,,d5be5333-4171-427e-8e12-732087c6b78e,229000.0,"['dance', 'hip hop', 'pop', 'rap']","['electropop', 'dance-pop']"
5,Right Round,Flo Rida,['Kesha'],2009,ac536c63-0c65-4eb1-b8ce-5b323ff2a0ec,4593d49a-7f67-46ba-9ec0-126bd676286f,204000.0,"['hip hop', 'dance', 'rap']",['electro hop']
6,Like it Like That,Guy Sebastian,[],2009,402ef115-84bf-4508-be8d-4b6d0829e179,f116b984-45ae-49d0-9445-efc5a61458a1,229000.0,[],[]
7,Halo,Beyonce,[],2009,69ed6f8a-d889-4458-b442-5cd9a04a1f8c,859d0860-d480-4efd-970c-c05d5f1776b8,226000.0,"['pop', 'rnb', 'soul']",[]
8,Meet Me Halfway,Black Eyed Peas,[],2009,ecfbb75e-1a7c-4626-96a5-40d71fde624c,d5be5333-4171-427e-8e12-732087c6b78e,228000.0,"['pop', 'dance', 'rap']",['dance-pop']
9,Tik Tok,Kesha,[],2009,,,200000.0,[],"['electropop', 'dance-pop', 'Eurodance']"
10,The Last Day on Earth,Kate Miller-Heidke,[],2009,9d1601c9-dcd3-4c67-b780-933f4604a8cd,,287000.0,[],['pop rock']
11,Poker Face,Lady Gaga,[],2009,,650e7db6-b795-4eb5-a702-5ea2fc46c848,237000.0,"['pop', 'dance', 'electronic']","['dance-pop', 'synth-pop']"
12,Paparazzi,Lady Gaga,[],2009,,650e7db6-b795-4eb5-a702-5ea2fc46c848,208000.0,"['pop', 'dance']","['electropop', 'electropop', 'electronic music', 'dance-pop', 'synth-pop', 'techno-pop']"
13,You Found Me,The Fray,[],2009,,2ddd167f-5b8a-4372-b350-6ad50493bac0,241000.0,"['alternative', 'rock']",['piano rock']
14,Single Ladies (Put a Ring on It),Beyonce,[],2009,0c2211eb-59f3-4a1d-ab91-cdc0b203329c,859d0860-d480-4efd-970c-c05d5f1776b8,192000.0,"['pop', 'rnb', 'dance']",[]
15,Jai Ho! (You Are My Destiny),A. R. Rahman & The Pussycat Dolls,[],2009,14a26918-dc26-4ef5-8100-42d95fedcff7,1fda852b-92e9-4562-82fa-c52820a77b23,221000.0,[],[]
16,The Climb,Miley Cyrus,[],2009,4fd5584d-458f-4664-b139-05018e0891d4,7e9bd05a-117f-4cce-87bc-e011527a8b18,235000.0,"['pop', 'country']",['country pop']
17,You Belong With Me,Taylor Swift,[],2009,,20244d07-534f-4eff-b4d4-930878889970,299000.0,"['country', 'pop']",['country pop']
18,Evacuate the Dancefloor,Cascada,[],2009,ff60756f-4f2f-4479-bb57-e7f60a44e7c8,04af2581-6692-4f14-a7fe-151a36f20368,205000.0,[],"['Eurodance', 'Eurodance']"
