rank,song_title,artist,featuring_artists,year,track_mbid,artist_mbid,duration,genre,wiki_genre
1,Beautiful Things,Benson Boone,[],2024,292effe0-7b50-4eee-bb16-cf470b2a503d,62b914a7-d775-4bb4-bb5e-d46e7df115b5,180000.0,"['pop', 'emo']","['rock music', 'folk rock', 'pop rock']"
2,A Bar Song (Tipsy),Shaboozey,[],2024,1108d460-6705-4eaf-8a4e-b1d86dde5c85,0b427dad-1ee5-48f1-aa4b-026680a3338e,171000.0,"['country', 'pop']",[]
3,Espresso,Sabrina Carpenter,[],2024,7e0a8814-ccd2-44c1-8f69-415ad9fd6696,1882fe91-cdd9-49c9-9956-8e06a3810bd4,175000.0,['pop'],"['synth-pop', 'disco', 'funk']"
4,Stick Season,Noah Kahan,[],2024,b6aeb26d-31fb-42f3-9339-905b36fcf5a7,a2a3f910-b188-43e7-81d0-f1ac2a2f3e12,181000.0,"['indie', 'folk']",['folk music']
5,Lose Control,Teddy Swims,[],2024,e4733d45-75fa-4bf2-a0d6-9835a67e53b7,35feae82-8b2c-4f8f-ae7a-af5662848947,210000.0,"['soul', 'pop', 'rnb']",['soul']
6,Birds of a Feather,Billie Eilish,[],2024,3a7e1970-069c-4761-a6b2-9046e54406bc,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,183000.0,['pop'],['new wave']
7,I Had Some Help,Post Malone,['Morgan Wallen'],2024,8290f2d3-59ee-4806-8fda-5149de94f799,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,178000.0,[],['country pop']
8,Too Sweet,Hozier,[],2024,bcddd6a9-b66f-4993-9b7a-75a78b476373,b4691384-50c3-4afd-9988-51d3ec5db65d,251000.0,['pop'],"['soul', 'indie rock']"
9,Cruel Summer,Taylor Swift,[],2024,7b3f37a2-850e-499e-95e9-f3fbf0f40331,20244d07-534f-4eff-b4d4-930878889970,178000.0,['pop'],"['electropop', 'synth-pop']"
10,Million Dollar Baby,Tommy Richman,[],2024,8eaa7bc3-0fef-4027-8a91-c26aba8024eb,741a6c80-2d6e-4522-9de4-e070798a2d30,155000.0,['rnb'],['trap music']
11,I Remember Everything,Zach Bryan,['Kacey Musgraves'],2024,,51e90731-08c0-4f60-89b6-5b78e5844de8,275000.0,[],['country music']
12,Austin,Dasha,[],2024,dbf5be27-9890-4328-a5fe-b359ae882299,4068caf6-2491-48b7-bdae-6dad7c3a85b7,171000.0,[],[]
13,"Good Luck, Babe!",Chappell Roan,[],2024,9d97dc85-01e2-400e-8a3f-40cd4790de59,56a55378-f155-48de-80a5-d80104221267,218000.0,['pop'],"['baroque pop', 'synth-pop']"
14,Please Please Please,Sabrina Carpenter,[],2024,f9f27e61-bcf0-4b3a-901c-e2e4113dfd7b,1882fe91-cdd9-49c9-9956-8e06a3810bd4,186000.0,['pop'],"['pop music', 'disco', 'country pop', 'yacht rock']"
15,Something in the Orange,Zach Bryan,[],2024,95a87931-919e-4364-934a-24b70cf9ebff,51e90731-08c0-4f60-89b6-5b78e5844de8,228000.0,['country'],['country music']
16,Greedy,Tate McRae,[],2024,579ede57-ecd8-4763-a0fa-3128086c75b4,f9133869-f87c-459c-9aa7-2f176cda7e06,131000.0,"['pop', 'dance', 'rnb']","['pop music', 'dance-pop', 'contemporary R&B']"
17,Lovin on Me,Jack Harlow,[],2024,be26a5d7-6845-429c-8742-7b0fe5955e45,134cb0bc-06fa-42f7-8078-b0c858349975,138000.0,"['rap', 'hip hop']",['pop rap']
18,Scared to Start,Michael Marcagi,[],2024,83223985-78c5-43f5-9a68-ce6f98be3a45,d2e83041-3409-4c5a-80b6-872ae439bf17,159000.0,[],[]
19,Prada,Casso & Raye & D-Block Europe,[],2024,,,0.0,[],[]
20,Fortnight,Taylor Swift,['Post Malone'],2024,839f1db4-5c6f-4b18-9d0e-b492b9131ce7,20244d07-534f-4eff-b4d4-930878889970,229000.0,[],"['electropop', 'downtempo']"
21,I Like the Way You Kiss Me,Artemas,[],2024,5a5670fc-f5b8-4d2c-8dd3-3412bdd09721,0211be88-dc0f-4002-a1de-4001bb359d51,143000.0,"['rock', 'indie']","['synthwave', 'alternative pop', 'alternative pop']"
22,End of Beginning,Djo {Joe Keery},[],2024,,,,[],[]
23,Not Like Us,Kendrick Lamar,[],2024,88f628b8-5564-4c70-9a07-8a66d14bf7be,381086ea-f511-4aba-bdf9-71c753dc5077,275000.0,[],"['West Coast hip-hop', 'hardcore hip-hop', 'hyphy']"
24,Riptide,Vance Joy,[],2024,,df36f6db-5987-46ed-9d02-0cf36ed4e060,204000.0,"['folk', 'indie', 'alternative']",['indie folk']
25,Last Night,Morgan Wallen,[],2024,62ca86de-7204-4b12-bc2a-94a4ad39a027,2077273e-eaa1-4f49-903c-f286ededecb9,161000.0,"['country', 'pop']",['country pop']
26,We Can't Be Friends (Wait for Your Love),Ariana Grande,[],2024,b6587011-5a7c-4664-82ad-7a6368f4bd99,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,229000.0,['pop'],['synth-pop']
27,Stargazing,Myles Smith,[],2024,ff052782-9fc5-4cf8-9f02-14c77c73f880,73d2a9d4-de5d-4bcd-9acb-ddf67dfd71ac,171000.0,[],['folk-pop']
28,Taste,Sabrina Carpenter,[],2024,aa249f0d-faf3-4535-9efb-d9ac78743464,1882fe91-cdd9-49c9-9956-8e06a3810bd4,157000.0,['pop'],"['pop music', 'slacker rock', 'glam rock', 'soft rock', 'country pop']"
29,Stumblin' In,Cyril,[],2024,a34a4833-cf02-4b0e-b00e-55d8bc03c589,5ee56fb3-6e4b-4e51-bde2-7b40a9fca1df,215000.0,[],[]
30,Fast Car,Luke Combs,[],2024,27a100f9-583c-4947-a826-fc6d70283764,c20ee61f-071f-4e65-9c81-45ee931a54ce,265000.0,[],"['acoustic music', 'country music']"
31,Die With a Smile,Lady Gaga & Bruno Mars,[],2024,f858baba-3019-440f-9fe3-82202526bfa0,,251000.0,[],[]
32,Houdini,Eminem,[],2024,7bf0cb56-212f-4fdb-b68c-04d3059d68c7,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,227000.0,"['hip hop', 'rap']",[]
33,Slow it Down,Benson Boone,[],2024,862d3bd7-e035-4e56-9817-7e87fb283706,62b914a7-d775-4bb4-bb5e-d46e7df115b5,161000.0,['pop'],[]
34,Mr. Brightside,The Killers,[],2024,,95e1ead9-4d31-4808-a7ac-32c3614c116b,222000.0,"['rock', 'indie', 'alternative']",['indie rock']
35,Texas Hold 'Em,Beyonce,[],2024,,,0.0,[],[]
36,Dreams,Fleetwood Mac,[],2024,,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,257000.0,[],"['soft rock', 'soft rock']"
37,Iris,Goo Goo Dolls,[],2024,cef4d7e6-5f96-40ad-8841-e870a06e36e1,e2c00c56-8365-4160-9f40-a64682917633,289000.0,[],['alternative rock']
38,Water,Tyla,[],2024,523f406f-1056-4724-9d5e-37949e8e6158,2bf761c6-4bcf-4cfc-a388-8fcb2eea8cc8,200000.0,['rnb'],"['amapiano', 'contemporary R&B', 'Afrobeats']"
39,Flowers,Miley Cyrus,[],2024,baecb366-aa92-4685-a4a3-56c6e573b679,7e9bd05a-117f-4cce-87bc-e011527a8b18,200000.0,['pop'],['pop music']
40,Unwritten,Natasha Bedingfield,[],2024,a3c98ed2-075d-3d13-baab-610b5f93e9aa,8b477559-946e-4ef2-9fe1-446cff8fdd79,255000.0,"['pop', 'dance']","['pop music', 'pop music']"
41,Paint the Town Red,Doja Cat,[],2024,b9e20829-1d09-456a-b649-3138e305d9ca,5df62a88-cac9-490a-b62c-c7c88f4020f4,231000.0,"['pop', 'rnb', 'rap']",[]
42,Pink Skies,Zach Bryan,[],2024,,51e90731-08c0-4f60-89b6-5b78e5844de8,194000.0,[],[]
43,Saturn,SZA,[],2024,9b6b096f-36d8-4297-b181-ea501c4b41a2,272989c8-5535-492d-a25c-9f58803e027f,186000.0,[],['alternative R&B']
