rank,song_title,artist,featuring_artists,year,track_mbid,artist_mbid,duration,genre,wiki_genre
1,As it Was,Harry Styles,[],2022,ca05e074-1c11-4587-ba3d-cc6c8b8c3714,7eb1ce54-a355-41f9-8d68-e018b096d427,165000.0,['pop'],[]
2,Heat Waves,Glass Animals,[],2022,,20395131-fbde-43ce-b141-b700cfdae99c,238000.0,"['indie', 'pop', 'rnb']","['contemporary R&B', 'psychedelic pop', 'pop rock']"
3,Stay,The Kid Laroi & Justin Bieber,[],2022,14d20e85-6c24-44a8-8e98-1d7237732c55,,141000.0,[],[]
4,Cold Heart (Pnau Remix),Elton John & Dua Lipa,[],2022,a3906438-a1b2-403d-a7c2-7f48fca0a586,,202000.0,[],[]
5,Bad Habits,Ed Sheeran,[],2022,2d24a8d7-66ad-40b2-8ae7-5f6fc9981646,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,230000.0,"['pop', 'dance']","['electropop', 'dance-pop']"
6,Shivers,Ed Sheeran,[],2022,d199de3b-e552-410e-b45e-eaf178b763dc,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,207000.0,['pop'],['dance-pop']
7,Where Are You Now,Lost Frequencies & Calum Scott,[],2022,0fdb02ae-22a9-4f9b-bed0-75ee8c884b21,,149000.0,[],[]
8,First Class,Jack Harlow,[],2022,b6fc6286-4b1b-4ac9-917a-f1238caeef20,134cb0bc-06fa-42f7-8078-b0c858349975,173000.0,['rap'],['hip-hop']
9,I Ain't Worried,OneRepublic,[],2022,6dd28fe4-9ed1-4cb1-a5bb-6959f8708bd5,c33c2065-b1c3-4406-b066-d33a9e2ea71a,148000.0,"['pop', 'electronic', 'dance']",['pop music']
10,About Damn Time,Lizzo,[],2022,29c1a473-2412-453d-8698-34a70f71c587,8fb5370b-9568-4b61-9da5-2aa12c9928db,191000.0,"['pop', 'funk']","['disco', 'funk']"
11,Running Up That Hill,Kate Bush,[],2022,,4b585938-f271-45e2-b19a-91c634b5e396,302000.0,"['pop', 'alternative']",['popular music']
12,ABCDEFU,Gayle,[],2022,920dd9ae-190a-4026-9189-410ed9b82e48,18fa2604-c608-4e1a-9b9d-05d7360c5817,168000.0,[],"['pop rock', 'pop-punk']"
13,Ghost,Justin Bieber,[],2022,0b57f0ad-39c2-4880-a660-6e6eea7620c6,e0140a67-e4d1-4f13-8a01-364355bee46e,153000.0,"['electronic', 'pop', 'dance']",['pop rock']
14,Levitating,Dua Lipa,['DaBaby'],2022,957df7c5-9c3a-4dbc-b139-f339f2378986,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,203000.0,['pop'],"['nu-disco', 'electro-disco']"
15,Save Your Tears,The Weeknd,[],2022,0f431b3e-ddb0-4cea-9b32-e59d47b1ae8c,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,215000.0,"['pop', 'rnb']",['synth-pop']
16,Industry Baby,Lil Nas X & Jack Harlow,[],2022,ffb0e2ba-9853-44de-978d-bd2f3537dd43,,212000.0,[],[]
17,Easy on Me,Adele,[],2022,327f17da-5416-4ba6-90a4-ff4e4cf068c7,cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,225000.0,"['pop', 'soul']",['pop music']
18,Mr. Brightside,The Killers,[],2022,,95e1ead9-4d31-4808-a7ac-32c3614c116b,222000.0,"['rock', 'indie', 'alternative']",['indie rock']
19,Unholy,Sam Smith & Kim Petras,[],2022,1a774967-444d-42de-aa65-b6160d1205e4,,156000.0,[],[]
20,Big Energy,Latto,[],2022,0f35f080-edf1-4353-b09d-a6b8cd1bc0cf,355cc194-b8db-4af2-8678-c7ad54213f4b,172000.0,[],['pop rap']
21,Good 4 U,Olivia Rodrigo,[],2022,97aa087b-5fa2-42ff-bd48-d162862cdc95,6925db17-f35e-42f3-a4eb-84ee6bf5d4b0,178000.0,"['rock', 'pop']","['emo', 'grunge', 'pop rock', 'pop-punk', 'teen pop']"
22,Enemy,Imagine Dragons & JID,[],2022,,,0.0,[],[]
