rank,song_title,artist,featuring_artists,year,track_mbid,artist_mbid,duration,genre,wiki_genre
1,What About Me,Shannon Noll,[],2004,595f544c-a0b0-4980-a0e1-cc0733f812fc,5b07a1d0-9dc7-410c-a3f8-0b7cb159b852,201000,[],[]
2,Left Outside Alone,Anastacia,[],2004,,d3b2bec4-b70e-460e-b433-a865ceac2de8,234000,[],"['rock music', 'house music', 'pop rock', 'pop music']"
3,Black Betty,Spiderbait,[],2004,7cda1041-eab5-48c9-8e6d-47efa0f88417,6f0c596e-c5e6-4bae-87c2-4c69cb3d4067,207000,[],[]
4,Milkshake,Kelis,[],2004,4b993f53-43e0-448a-8db2-882720505f63,1239d1bc-cc09-43e0-bcd0-374f60346138,184000,"['rnb', 'pop', 'dance']",['dance music']
5,F**k It (I Don't Want You Back),Eamon,[],2004,9ae88819-34d4-4584-9b40-d234f83f41b6,d791111a-9fcc-4ebe-bb16-b785719a642b,225000,[],[]
6,Superstar,Jamelia,[],2004,,de07bdca-5e3d-4f27-a9db-e396141eac66,214000,[],['pop music']
7,My Immortal,Evanescence,[],2004,,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,264000,['rock'],"['alternative metal', 'soft rock', 'gothic rock']"
8,These Kids,Joel Turner & The Modern Day Poets,[],2004,4bf38115-0c69-4e0b-a2f7-f9ef90e2a3f4,98bf9373-7eb4-46b3-bbf8-ddb80e47c537,239000,[],[]
9,Shut Up,Black Eyed Peas,[],2004,,d5be5333-4171-427e-8e12-732087c6b78e,225000,[],['rapping']
10,Suga Suga,Baby Bash,['Frankie J'],2004,,1fe6717a-73b5-4e70-82c5-6b83a08c997d,239000,"['rnb', 'hip hop']",['hip-hop']
11,My Band,D12,[],2004,11ee8f63-39e2-3fa6-bbd8-63e163b2446c,9ab19acf-06d9-4c92-bd5a-8c945488d45b,298000,"['rap', 'hip hop']",['comedy hip-hop']
12,Behind Blue Eyes,Limp Bizkit,[],2004,,8f9d6bb2-dba4-4cca-9967-cc02b9f4820c,270000,"['rock', 'alternative']",[]
13,She Will Be Loved,Maroon 5,[],2004,87980cb6-7052-40df-a018-15360d571db0,0ab49580-c84f-44d4-875f-d83760ea2cfe,257000,"['pop', 'rock', 'alternative']",['pop rock']
14,With You,Jessica Simpson,[],2004,fbe92c82-0015-44fd-8fca-1d50eebfc40c,fe37acd4-893c-4b2c-8ad2-7fd394280354,192000,[],['pop music']
15,Hey Ya!,Outkast,[],2004,7061f60c-d5fe-4a8a-a172-c458b904aa9e,73fdb566-a9b1-494c-9f32-51768ec9fd27,225000,"['funk', 'dance', 'pop', 'hip hop']",[]
16,I Don't Wanna Know,Mario Winans,"['Enya', 'P. Diddy']",2004,378b2d53-5451-4ab4-af16-0d198b06df79,5028a04d-c3b5-428d-9c88-433224bb10ba,229000,[],['contemporary R&B']
17,Angel Eyes,Paulini,[],2004,08f3c68e-c493-3bfc-9160-fe505dd12438,a58e89ba-f5ed-4a72-9e53-cd88bae7128c,0,[],[]
18,Here Without You,3 Doors Down,[],2004,376f0fb3-1da4-42c5-bbcb-91d62d0cb78d,2386cd66-e923-4e8e-bf14-2eebe2e9b973,237000,"['rock', 'alternative']","['post-grunge', 'alternative rock']"
19,Four to the Floor,Starsailor,[],2004,,fbd86487-ccb5-4a57-a860-cc3d360b5115,274000,[],['rock music']
